,Onet Occupation,2017,2018,2019,2020,2021,Total
id,Accountants And Auditors,55,109,226,120,167,677
id,Actuaries,0,0,2,2,2,6
id,Acute Care Nurses,0,1,1,0,0,2
id,Administrative Services Managers,5,8,25,31,32,101
id,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors",19,49,51,36,41,196
id,Advertising And Promotions Managers,4,1,9,13,7,34
id,Advertising Sales Agents,4,6,7,8,24,49
id,Aerospace Engineers,0,3,4,0,7,14
id,"Agents And Business Managers Of Artists, Performers, And Athletes",1,0,4,8,9,22
id,Agricultural Engineers,0,2,1,1,0,4
id,Air Crew Members,0,4,3,2,2,11
id,Air Crew Officers,0,0,0,1,0,1
id,Air Traffic Controllers,1,1,1,1,4,8
id,Aircraft Mechanics And Service Technicians,4,2,0,0,0,6
id,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers",1,0,1,0,0,2
id,Airfield Operations Specialists,2,1,6,1,11,21
id,"Airline Pilots, Copilots, And Flight Engineers",0,0,0,0,1,1
id,Amusement And Recreation Attendants,0,0,1,5,0,6
id,Anesthesiologist Assistants,0,0,0,1,0,1
id,Animal Caretakers,2,3,2,2,2,11
id,Animal Control Workers,3,4,5,3,9,24
id,Animal Scientists,0,0,0,0,2,2
id,Animal Trainers,0,4,3,2,6,15
id,"Anthropology And Archeology Teachers, Postsecondary",0,0,0,0,1,1
id,Appraisers And Assessors Of Real Estate,0,0,3,1,1,5
id,"Arbitrators, Mediators, And Conciliators",1,4,4,1,0,10
id,"Architects, Except Landscape And Naval",8,12,15,9,5,49
id,Architectural And Civil Drafters,3,6,15,4,8,36
id,Architectural And Engineering Managers,5,4,6,9,11,35
id,"Architecture Teachers, Postsecondary",1,0,0,0,1,2
id,Archivists,0,0,2,0,1,3
id,Art Directors,4,3,8,3,5,23
id,"Art, Drama, And Music Teachers, Postsecondary",4,1,3,6,4,18
id,Artillery And Missile Crew Members,0,0,0,0,1,1
id,"Artists And Related Workers, All Other",0,0,1,0,0,1
id,"Assemblers And Fabricators, All Other",0,0,0,0,2,2
id,Astronomers,0,0,1,0,0,1
id,Athletes And Sports Competitors,0,0,0,0,1,1
id,Audio And Video Technicians,0,4,2,1,0,7
id,Audiovisual Equipment Installers And Repairers,3,0,1,0,0,4
id,Automotive And Watercraft Service Attendants,3,5,4,1,7,20
id,Automotive Engineering Technicians,0,0,0,0,1,1
id,Automotive Engineers,9,3,11,26,40,89
id,Automotive Glass Installers And Repairers,0,0,3,0,3,6
id,Automotive Service Technicians And Mechanics,4,3,9,17,17,50
id,Aviation Inspectors,1,1,1,0,2,5
id,Baggage Porters And Bellhops,0,0,0,0,1,1
id,Bakers,3,4,7,0,4,18
id,Barbers,0,2,0,0,0,2
id,Baristas,2,7,20,2,2,33
id,Bartenders,3,2,1,1,3,10
id,Bicycle Repairers,1,0,0,0,0,1
id,Bill And Account Collectors,62,27,59,46,228,422
id,Billing And Posting Clerks,46,98,104,56,94,398
id,Bioengineers And Biomedical Engineers,0,0,1,0,0,1
id,Biofuels Processing Technicians,1,10,4,5,4,24
id,Biofuels Production Managers,0,1,0,0,3,4
id,Biofuels/Biodiesel Technology And Product Development Managers,0,1,0,0,0,1
id,"Biological Science Teachers, Postsecondary",0,1,1,0,0,2
id,Biological Technicians,3,3,0,2,4,12
id,Biologists,1,0,0,1,1,3
id,Biomass Plant Technicians,0,2,10,4,7,23
id,Biomass Power Plant Managers,1,0,9,5,8,23
id,Blockchain Engineers,0,2,4,10,14,30
id,Boilermakers,1,0,0,0,0,1
id,"Bookkeeping, Accounting, And Auditing Clerks",64,99,149,136,179,627
id,Bridge And Lock Tenders,0,1,0,0,0,1
id,Broadcast Technicians,4,3,9,3,15,34
id,Brokerage Clerks,5,5,8,24,25,67
id,Budget Analysts,0,1,0,3,6,10
id,"Bus Drivers, Transit And Intercity",0,1,3,1,3,8
id,Business Continuity Planners,0,0,2,1,6,9
id,Business Intelligence Analysts,18,18,76,141,201,454
id,"Business Operations Specialists, All Other",13,55,58,26,27,179
id,"Business Teachers, Postsecondary",4,9,6,5,2,26
id,Butchers And Meat Cutters,1,1,0,0,2,4
id,"Buyers And Purchasing Agents, Farm Products",0,0,0,1,4,5
id,Cabinetmakers And Bench Carpenters,1,0,1,1,1,4
id,Calibration Technologists And Technicians,0,0,0,1,0,1
id,Camera And Photographic Equipment Repairers,0,2,0,0,0,2
id,"Camera Operators, Television, Video, And Film",2,0,9,4,4,19
id,"Captains, Mates, And Pilots Of Water Vessels",0,5,2,3,3,13
id,Cardiovascular Technologists And Technicians,2,0,0,0,0,2
id,"Career/Technical Education Teachers, Middle School",0,1,0,2,1,4
id,"Career/Technical Education Teachers, Postsecondary",4,0,14,6,10,34
id,"Career/Technical Education Teachers, Secondary School",3,2,2,1,1,9
id,Cargo And Freight Agents,5,2,5,2,5,19
id,Carpenters,1,8,5,0,3,17
id,Carpet Installers,0,0,1,0,0,1
id,Cashiers,2,1,8,0,3,14
id,Chefs And Head Cooks,1,5,7,3,1,17
id,Chemical Engineers,0,2,0,0,1,3
id,Chemical Equipment Operators And Tenders,1,3,1,0,0,5
id,Chemical Plant And System Operators,3,2,3,0,5,13
id,Chemical Technicians,2,7,5,2,4,20
id,Chemists,2,14,10,5,6,37
id,Chief Executives,18,20,36,23,34,131
id,Chief Sustainability Officers,0,0,1,0,1,2
