Nursing,Animal_Husbandry,NumPy,Databases,Cryptography,Equity_and_Debt,Hotel_Management,AutoCAD,Social_Media_Marketing,Food_Microbiology
"('General_Practitioner', 0.572891116142273)","('Veterinary_Medicine', 0.7830892205238342)","('Seaborn', 0.6891351938247681)","('Relational_Databases', 0.46334609389305115)","('Http_Protocols', 0.6064301133155823)","('Technical_Debt', 0.5060218572616577)","('Tourism', 0.5462974905967712)","('Clash_Detection', 0.5465955138206482)","('Facebook_Marketing', 0.45487338304519653)","('Software_Defined_Networking_(SDN)', 0.5171811580657959)"
"('Pediatrics', 0.5591205954551697)","('Animal_Science', 0.7469941973686218)","('SciPy', 0.6624762415885925)","('Online_databases', 0.3822048306465149)","('Open_Web_Application_Security_Project_(OWASP)', 0.5760807991027832)","('Cryptography', 0.4882182478904724)","('Restaurant_Management', 0.5075775980949402)","('Computer-Aided_Design', 0.5406861901283264)","('Social_Media_Monitoring', 0.4445805251598358)","('Selinux', 0.49109727144241333)"
"('Medical_Prescription', 0.5362215638160706)","('Agricultural_Engineering', 0.6779778003692627)","('Recurrent_Neural_Network_(RNN)', 0.6023417711257935)","('Online_Databases', 0.37455615401268005)","('Transport_Layer_Security_(TLS)', 0.5672594308853149)","('Treasury_Management', 0.4503331184387207)","('Hospitality_Industry', 0.5045034289360046)","('Bank_Insurance_Model_(BIM)', 0.5391685366630554)","('Indexing', 0.4262012541294098)","('Network_Security_Design', 0.48992210626602173)"
"('Oral_and_Dental_Care', 0.527810275554657)","('Additives', 0.6272615790367126)","('Machine_Learning_(ML)', 0.5916885137557983)","('Code_libraries', 0.35995814204216003)","('Data_Binding', 0.5511030554771423)","('Open_Web_Application_Security_Project_(OWASP)', 0.3977532982826233)","('Ordering_software', 0.4839313328266144)","('STAAD', 0.5116987228393555)","('Government_Contracting', 0.40161362290382385)","('Household_Products', 0.4884323179721832)"
"('Plastic_Surgery', 0.5265087485313416)","('Agricultural_Economics', 0.6261911392211914)","('Deep_Learning_Methods', 0.5858809947967529)","('Data_Interfaces', 0.35857534408569336)","('Dependency_Management', 0.54984450340271)","('Finance', 0.3843185603618622)","('Business-To-Consumer', 0.47581636905670166)","('ArchiCAD', 0.49800607562065125)","('Enterprise_Marketing', 0.3956488370895386)","('Sun_Certified_Java_Developer_(SCJD)', 0.48556268215179443)"
"('Health_Education', 0.5144779682159424)","('Farm_Equipment', 0.6255351305007935)","('Deep_Learning', 0.5550919771194458)","('Database_Modeling', 0.3287777602672577)","('Security_Assertion_Markup_Language_(SAML)', 0.5423625707626343)","('Transport_Layer_Security_(TLS)', 0.3769696056842804)","('Social_Entrepreneurship', 0.4718266427516937)","('Residential_Design', 0.49447938799858093)","('Adobe_Creative_Cloud', 0.3774864971637726)","('Gross_Sales', 0.47486189007759094)"
"('Operating_Room_(OR)', 0.5132336616516113)","('Animal_Care', 0.5988941788673401)","('Mathematical_Finance', 0.5201844573020935)","('FreeRADIUS', 0.3230537474155426)","('Cryptographic_Protocols', 0.5338737964630127)","('Dental_Health', 0.373374342918396)","('Hotel_Industry', 0.4702639579772949)","('Siemens_NX', 0.4716910719871521)","('Sprout_Social', 0.37223130464553833)","('Mailgun', 0.46876487135887146)"
"('Procedure_Codes', 0.4982340633869171)","('Deworming', 0.5532439351081848)","('Matplotlib', 0.5013678669929504)","('SmartClient', 0.3199857175350189)","('Web_Engineering', 0.5284543037414551)","('Corporate_Development', 0.3680717349052429)","('Hotel_And_Restaurant_Management', 0.4648677706718445)","('Construction', 0.4702993631362915)","('Social_Media', 0.36791738867759705)","('Tumblr', 0.46508798003196716)"
"('Chemotherapy', 0.49722298979759216)","('Agribusiness', 0.5501507520675659)","('Computer_Vision', 0.4952830374240875)","('Business_Systems', 0.31487780809402466)","('Blueprinting', 0.5236907005310059)","('Credit_Products', 0.36297598481178284)","('Cashiering', 0.46421536803245544)","('Structural_Engineering', 0.4673347771167755)","('MobX', 0.36639484763145447)","('NuGet', 0.4619230329990387)"
"('Clinical_Experience', 0.4961245357990265)","('Fertilizers', 0.5421188473701477)","('Feature_Engineering', 0.47282952070236206)","('SQL_Server_Agent', 0.3093259334564209)","('Progressive_Web_Apps', 0.5168689489364624)","('OpenAPI', 0.3561428487300873)","('Cash_Handling', 0.45820796489715576)","('Civil_Design', 0.46714895963668823)","('Aweber', 0.3564140200614929)","('TopSolid', 0.46041300892829895)"
