,skill,count,degree,standard_count,standard_degree,skill profile,job
0,Business,251,507,13.179997042936938,7.82110349646873,core,Computer Systems Analysts
1,"Policy Analysis, Research, and Development",198,407,10.325240523085967,6.119292422331665,core,Computer Systems Analysts
2,Design,165,401,8.547750614499513,6.0171837578834415,core,Computer Systems Analysts
3,Communication,153,454,7.9013906477408025,6.919143627176086,core,Computer Systems Analysts
4,"Water Supply, Testing, and Treatment",139,366,7.147304019855641,5.421549881935469,core,Computer Systems Analysts
5,Analysis,135,358,6.931850697602737,5.285404996004504,core,Computer Systems Analysts
6,"Company, Product, and Service Knowledge",132,414,6.770260705913059,6.23841919752126,core,Computer Systems Analysts
7,Science and Research,113,380,5.7468574252117675,5.659803432314658,core,Computer Systems Analysts
8,Computer Science,110,372,5.585267433522089,5.523658546383693,core,Computer Systems Analysts
9,Business Requirements,87,266,4.346410830567895,3.7197388077984046,core,Computer Systems Analysts
10,Information Technology,76,314,3.75391419437241,4.5366081233841955,core,Computer Systems Analysts
11,"Engineering, Scientific, and Technical Instruments",73,297,3.592324202682733,4.247300240780895,core,Computer Systems Analysts
12,Salesforce,63,245,3.0536908970504744,3.362358482229621,core,Computer Systems Analysts
13,Business Process,58,237,2.7843742442343453,3.226213596298656,core,Computer Systems Analysts
14,Sales,55,269,2.6227842525446676,3.7707931400225165,core,Computer Systems Analysts
15,"Maintenance, Repair, and Facility Services",47,233,2.1918776080388604,3.158141153333173,core,Computer Systems Analysts
16,Software Development,46,198,2.138014277475635,2.5625072773852007,core,Computer Systems Analysts
17,SAP,45,243,2.084150946912409,3.3283222607468796,core,Computer Systems Analysts
18,Administration,44,258,2.030287616349183,3.5835939218674393,core,Computer Systems Analysts
19,Production and Assembly,42,231,1.9225609552227314,3.124104931850432,specialized,Computer Systems Analysts
20,Oracle,41,244,1.8686976246595055,3.34534037148825,specialized,Computer Systems Analysts
21,Project Management,40,235,1.8148342940962796,3.1921773748159143,specialized,Computer Systems Analysts
22,User Acceptance Testing (UAT),37,205,1.653244302406602,2.681634052574795,specialized,Computer Systems Analysts
23,Candidate Relationship Management (CRM),37,227,1.653244302406602,3.056032488884949,specialized,Computer Systems Analysts
24,Writing,37,196,1.653244302406602,2.5284710559024592,specialized,Computer Systems Analysts
25,Java,34,191,1.4916543107169244,2.443380502195606,specialized,Computer Systems Analysts
27,Architecture and Construction,33,212,1.4377909801536986,2.8007608277643894,specialized,Computer Systems Analysts
28,Accounting,32,212,1.3839276495904727,2.8007608277643894,specialized,Computer Systems Analysts
29,Finance,31,202,1.3300643190272468,2.630579720350683,specialized,Computer Systems Analysts
30,"Law, Regulation, and Compliance",29,229,1.2223376579007952,3.0900687103676905,specialized,Computer Systems Analysts
31,"Fire Prevention, Safety, and Control",28,236,1.1684743273375693,3.209195485557285,specialized,Computer Systems Analysts
32,JavaScript and jQuery,27,191,1.1146109967743434,2.443380502195606,specialized,Computer Systems Analysts
34,JavaScript,27,190,1.1146109967743434,2.4263623914542354,specialized,Computer Systems Analysts
41,Education and Training,21,183,0.7914310133949882,2.3072356162646406,specialized,Computer Systems Analysts
26,Business Analysis,34,153,1.4916543107169244,1.7966922940235213,bridging,Computer Systems Analysts
33,Language,27,160,1.1146109967743434,1.9158190692131158,bridging,Computer Systems Analysts
35,Marketing,25,145,1.0068843356478916,1.6605474080925562,bridging,Computer Systems Analysts
