,Aeronautical Engineering,Agricultural and Biosystems Engineering,Agriculture,Chemical Engineering,Civil Engineering,Computer Engineering,Computer Science,Electrical Engineering,Electronics Engineering,Exercise and Sports Science,Food Technology,Industrial Engineering,Information Systems,Information Technology,Materials Engineering,Mathematics,Mechanical Engineering,Metallurgical Engineering,Mining Engineering,Nutrition and Dietetics,Psychology,Radiologic Technology,Speech Language Pathology
Robotics Engineers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Network Support Specialists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Systems Engineers/Architects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Information Security Engineers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data Scientists,0.0,0.034482758620689655,0.0,0.034482758620689655,0.02702702702702703,0.030303030303030304,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03333333333333333,0.03333333333333333,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0
Medical Records Specialists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electrical And Electronic Engineering Technologists And Technicians,0.0,0.0,0.09090909090909091,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.1,0.0,0.0,0.0,0.0
Software Developers,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.018518518518518517,0.018867924528301886,0.018867924528301886,0.0,0.0,0.019230769230769232,0.0,0.03571428571428571,0.0,0.0392156862745098,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0
Blockchain Engineers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Computer Systems Analysts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
