,Aeronautical Engineering,Agricultural and Biosystems Engineering,Agriculture,Chemical Engineering,Civil Engineering,Computer Engineering,Computer Science,Electrical Engineering,Electronics Engineering,Exercise and Sports Science,Food Technology,Industrial Engineering,Information Systems,Information Technology,Materials Engineering,Mathematics,Mechanical Engineering,Metallurgical Engineering,Mining Engineering,Nutrition and Dietetics,Psychology,Radiologic Technology,Speech Language Pathology
Robotics Engineers,0.005987188313156366,-0.07176431268453598,0.0043457187712192535,0.10435061156749725,0.003333795815706253,0.09955672919750214,0.10887344181537628,0.1777855008840561,0.04840567708015442,-0.22237542271614075,0.2010267972946167,0.3949107229709625,0.33705154061317444,0.21476759016513824,0.14591385424137115,0.08274033665657043,0.07327155023813248,-0.0922347828745842,-0.1793118417263031,-0.0009320470271632075,0.01389020774513483,0.1234574094414711,0.06977174431085587
Computer Network Support Specialists,0.048658933490514755,0.10195942968130112,-0.02544195018708706,0.12993267178535461,0.1796140968799591,0.023665884509682655,-0.03564993292093277,0.338255912065506,0.02959277294576168,0.01448028814047575,0.10682570189237595,0.1718996912240982,0.3940061628818512,0.2719188630580902,0.12696288526058197,0.25156280398368835,0.270137220621109,0.11391127109527588,0.04625106602907181,0.2288452684879303,0.07054271548986435,0.19387155771255493,0.09687440097332001
Computer Systems Engineers/Architects,0.34186187386512756,0.26747927069664,0.13097435235977173,0.29314985871315,0.3404267728328705,0.31815916299819946,0.22473810613155365,0.4867806136608124,0.24170055985450745,0.026800479739904404,0.14383433759212494,0.3922097384929657,0.38966289162635803,0.45031508803367615,0.3439556062221527,0.3505970239639282,0.3574696481227875,0.22321398556232452,0.10777200013399124,0.399428129196167,0.24436019361019135,0.41663289070129395,0.07676541060209274
Information Security Engineers,0.2951931357383728,0.2168489545583725,0.1152210533618927,0.31986144185066223,0.34139499068260193,0.3148624002933502,0.2861068844795227,0.4261309504508972,0.2993870675563812,-0.014499264769256115,0.12033236771821976,0.41869479417800903,0.40111035108566284,0.4758390188217163,0.3229526877403259,0.24737778306007385,0.26742035150527954,0.20536090433597565,0.07689788192510605,0.4089353084564209,0.19635747373104095,0.39795389771461487,0.07124015688896179
Data Scientists,0.6044604182243347,0.48829227685928345,0.47462502121925354,0.7435919046401978,0.5902285575866699,0.7019833922386169,0.5842991471290588,0.7595653533935547,0.7112840414047241,0.13846716284751892,0.4135032296180725,0.5274046063423157,0.5669243335723877,0.5607112646102905,0.7994133234024048,0.49110081791877747,0.6762277483940125,0.45007994771003723,0.4376494884490967,0.3748195767402649,0.644528865814209,0.5769845247268677,0.42728325724601746
Medical Records Specialists,0.5895609259605408,0.24091197550296783,0.4880969822406769,0.3486030399799347,0.38957011699676514,0.261761337518692,0.4257504642009735,0.38753029704093933,0.28410762548446655,0.19273920357227325,-0.05275964364409447,0.5310536026954651,0.08106233179569244,0.061520617455244064,0.5339165329933167,-0.007544124033302069,0.2621229290962219,0.24919846653938293,0.22456669807434082,0.44252490997314453,0.20841281116008759,0.262907475233078,0.07396694272756577
Electrical And Electronic Engineering Technologists And Technicians,0.2855304777622223,0.22813868522644043,0.6652624011039734,0.3456551730632782,0.39443665742874146,0.17080742120742798,0.13121278584003448,0.3084851801395416,0.21311242878437042,0.5893546342849731,0.45250582695007324,0.4896107017993927,0.4137706458568573,0.08489753305912018,0.4065958261489868,0.1397385448217392,0.5756750106811523,0.16586074233055115,0.5541138648986816,0.019424794241786003,0.2863096296787262,0.43365350365638733,0.4029722809791565
Software Developers,0.2369827926158905,0.09104736149311066,0.19409935176372528,0.2183186113834381,0.16076911985874176,0.5034492611885071,0.4435420334339142,0.576927900314331,0.4179900586605072,0.048557575792074203,-0.045904096215963364,0.2777237892150879,0.5231338143348694,0.654449462890625,0.23242805898189545,0.7357907891273499,0.26354217529296875,0.05615082383155823,0.0558251291513443,0.2812623679637909,0.11450741440057755,0.5362551212310791,0.4253993034362793
Blockchain Engineers,0.1334497481584549,-0.032631345093250275,-0.02937805838882923,-0.07809107005596161,-0.07486472278833389,0.20526601374149323,0.18672150373458862,0.11373572051525116,0.05329487845301628,-0.16229882836341858,0.18645185232162476,0.04755891487002373,0.28132885694503784,0.4807909429073334,-0.06207514554262161,0.4211757481098175,0.0898212417960167,-0.1488129049539566,-0.2193690687417984,-0.13643550872802734,0.021770203486084938,0.1976207196712494,0.013245489448308945
Computer Systems Analysts,0.13607080280780792,0.3758927881717682,0.02443372644484043,0.425432950258255,0.3781108260154724,0.30396631360054016,0.05472457781434059,0.19305220246315002,0.31258657574653625,0.08020565658807755,0.2949831187725067,0.22377628087997437,0.4667997658252716,0.31065085530281067,0.32619380950927734,0.2389565259218216,0.26915761828422546,0.36396607756614685,0.2364676594734192,0.26357677578926086,0.373052179813385,0.28100043535232544,0.12646396458148956
