node,HGPA_label,NMF_label
5G_Technology,9,4
API_Gateway,2,1
Accounting,0,9
Administration,7,5
Adobe_Photoshop,1,9
Agile_Methodology,2,1
Agile_Software_Development,6,8
Agility,5,4
Algorithms,0,0
Amazon_Web_Services_(AWS),2,1
Analysis,6,8
Analytical_Thinking,9,4
Apache,7,3
Application_Development,3,6
Application_Programming_Interface_(API),2,1
Architectural_Design,4,2
Architecture_and_Construction,3,0
Art_and_Illustration,0,0
Auditing,0,9
Automation,6,8
Banking,6,8
Benchmarking,0,0
Big_Data,7,5
Bitcoin,0,0
Blockchain,0,0
Business,6,8
Business_Analysis,6,8
Business_Development,6,8
Business_Logic,2,1
Business_Requirements,9,3
Business_Systems,2,1
C,5,7
C#,5,7
C++,7,5
C_and_C++,5,7
Cascading_Style_Sheets_(CSS),5,7
Cloud_Computing,4,2
Cloud_Engineering,4,1
Cloud_Infrastructure,2,1
Cloud_Solutions,4,2
Cloudhub,8,2
Code_Conversion,2,1
Code_Sharing,2,1
Codebase,3,6
Communication,3,1
Community_Management,1,9
"Company,_Product,_and_Service_Knowledge",3,1
Compensation_and_Benefits,4,2
Computer_Engineering,0,0
Computer_Science,9,4
Configuration_Management,8,2
Conflict_Resolution,2,1
Content_Creation,1,9
Content_Engineering,5,7
Content_Strategy,1,9
Continuous_Delivery,6,8
Continuous_Integration,6,8
Control_Systems,3,6
Cryptocurrency,1,9
Cryptography,0,0
Customer_and_Client_Support,1,9
Data_Integration,7,5
Data_Management,7,5
Data_Mapping,7,5
Data_Quality,4,2
Data_Warehousing,7,5
Database_Administration,7,5
Database_Management,7,5
Databases,3,6
Debugging,9,3
Derivatives,5,4
Design,4,2
DevOps,2,1
Development_Environment,0,9
Digital_Audio,2,1
Digital_Marketing,1,9
Digital_Transformation,6,8
Docker,9,4
Education_and_Training,9,3
Emergency_Support,3,6
Emerging_Technologies,3,6
"Engineering,_Scientific,_and_Technical_Instruments",0,0
Engineering_Practices,0,9
Enterprise_Service_Bus,9,4
Equity_and_Debt,2,1
Ethereum,1,9
Events_and_Conferences,8,2
Executable,2,1
Extract_Transform_Load_(ETL),2,1
Facebook,6,8
File_Transfer_Protocol_(FTP),8,2
Finance,5,7
Financial_Services,6,8
"Fire_Prevention,_Safety,_and_Control",8,3
FpML,5,4
Git,8,3
GitHub,3,6
Github,3,6
Gitlab,2,1
Google_Cloud_Platform,3,6
HP-UX,5,4
Hadoop_Distributed_File_System_(HDFS),7,5
Health_Information_Systems_(HIS),0,0
Human_Capital,4,2
Human_Capital_Management_(HCM),4,2
HyperText_Markup_Language_(HTML),5,7
IBM_WebSphere,8,4
Idioms,3,6
Informatica,7,5
Informatics,9,4
Informatics_Engineering,9,4
Information_Technology,9,4
Infrastructure_As_A_Service_(IaaS),4,2
Initiative_and_Leadership,1,9
Integration_Testing,4,2
Intellectual_Property,8,2
JSON,4,2
Java,5,8
JavaScript,6,8
JavaScript_and_jQuery,6,8
Java_Message_Service_(JMS),8,2
Jenkins,2,1
Kubernetes,9,4
Language,2,1
Lead_Generation,1,9
Linux,9,5
Linux_Administration,8,3
Liquibase,6,8
Load_Balancing,2,1
Machinery,1,9
Magento,9,3
MailChimp,1,9
Mailchimp,1,9
"Maintenance,_Repair,_and_Facility_Services",6,8
Managed_Services,3,6
Management_Consulting,6,8
Management_Systems,0,0
Marketing,1,9
Marketing_Strategy,1,9
Media_and_Writing,1,9
Mercurial,8,2
Metadata,7,5
Metadata_Management,7,5
Microservices,3,6
Microsoft_Office,1,9
Middleware,2,1
MongoDB,5,7
MuleSoft,2,1
MuleSoft_Anypoint,2,1
MySQL,9,3
NoSQL,5,7
Node.js,0,0
Non-Fungible_Tokens_(NFT),1,9
OAuth,4,2
Object-Oriented_Programming_(OOP),9,3
Online_Communication,0,9
OpenStack,9,4
Open_Web_Application_Security_Project_(OWASP),0,0
Oracle,6,8
Oracle_Data_Integrator,5,4
PHP,7,5
PHPUnit,8,3
Payment_Systems,0,0
Payroll,4,2
Peer-To-Peer,0,0
Performance_Management,4,2
Performance_Profiling,9,3
Performance_Tuning,7,5
Perl,3,6
"Policy_Analysis,_Research,_and_Development",8,2
PostgreSQL,0,0
Problem_Solving,3,0
Process_Design,8,2
Process_Improvement_and_Optimization,6,8
Product_Configuration,9,4
Product_Development,5,7
Production_and_Assembly,8,3
Programming_languages,5,7
Project_Integration,9,3
Project_Management,6,8
Project_Proposals,6,8
Project_Resources,4,1
Public_Cloud,4,2
Python,5,7
Quality_Assurance_and_Control,4,2
R,0,0
React,5,7
React_Native,5,7
Relational_Databases,3,6
Rendering,4,2
Resource_Management,4,1
Revisions,4,2
Ruby,3,6
Ruby_On_Rails,3,6
Ruby_on_Rails,3,6
SAP,4,2
SAP_Applications,8,2
SAS,7,5
SSL,8,3
Salesforce,2,1
Scalability,3,6
Scaled_Agile_Framework,2,1
Scheduling,7,3
Science_and_Research,9,4
Scripting,7,5
Scripting_Languages,7,5
Security_Assertion_Markup_Language_(SAML),4,2
Server-Side,3,0
Shopify,8,3
Simple_Object_Access_Protocol_(SOAP),8,2
Smart_Contracts,0,9
Social_Media,1,9
Social_Media_Content,1,9
Social_Media_Marketing,1,9
Social_Media_Trends,1,9
Software_Architecture,4,2
Software_Defined_Networking_(SDN),9,4
Software_Design,9,3
Software_Development,6,8
Software_Engineering,0,9
Solution_Design,6,8
Spring,6,8
Spring_Framework,6,8
Sqoop,7,5
Stage,0,9
Statistics,2,1
Swift,5,4
System_Design_and_Implementation,9,3
Systems_Integration,6,8
TIBCO_ActiveMatrix,5,4
Talend,7,5
Technical_Documentation,0,0
Templates,8,2
Thought_Leadership,9,3
TikTok,1,9
Tooling,0,0
Travel_and_Tourism,2,1
Twitter,1,9
UI/UX,8,3
UNIX,7,5
UNIX_Shell,5,4
Unit_Testing,3,6
Unix,7,5
Unix_Shell,5,4
User_Acceptance_Testing_(UAT),7,3
User_Experience,1,9
Version_Control,8,3
Virtualization,9,4
Warehousing,7,5
"Water_Supply,_Testing,_and_Treatment",8,2
Wealth_Management,5,4
WebMethods,8,2
Web_Application_Development,3,6
Web_Applications,3,6
Web_Services,8,2
WordPress,5,7
Writing,4,2
XML,8,2
XPath,4,2
YouTube,1,9
