node,HGPA_label,NMF_label
.NET_Development,12,0
AJAX,12,2
API_Design,15,14
ASP.NET,12,0
Acceptance_Testing,4,13
Access_Controls,9,8
Account_Analysis,8,1
Account_Management,2,15
Account_Reconciliation,14,10
Accounting,6,1
Accounting_Information_Systems,14,12
Accounting_Systems,9,8
Accounting_and_Finance_Software,8,1
Accounting_software,8,1
Accounts_Payable_and_Receivable,6,1
Accounts_Receivable,6,1
Accruals,6,1
Acting,3,9
Active_Directory,14,12
Active_Server_Pages_(ASP),12,2
Actuarial_Science,8,4
Ad_Hoc_Analysis,1,16
Ad_Hoc_Reporting,16,7
Adjusting_Entries,6,10
Administration,16,6
Administrative_Support,11,5
Advanced_Audio_Coding_(AAC),16,11
Advanced_Business_Application_Programming_(ABAP),7,1
Advertisement,9,8
Advertising,1,15
Aftersales,16,1
Agile_Methodology,4,13
Agile_Projects,2,4
Agile_Software_Development,2,4
Agility,11,4
Algebra,12,0
Alteryx,11,16
Amazon_Web_Services_(AWS),16,2
Analysis,4,4
Analytical_Techniques,13,0
Analytical_Thinking,13,2
Analytics,1,15
Anaplan,1,16
Android,15,2
Annual_Reports,9,8
Apache,6,7
Apache_Spark,6,7
Apple_iWork,14,0
Application_Design,8,1
Application_Development,15,0
Application_Programming_Interface_(API),2,4
Application_Security,8,12
Application_Testing,16,2
Applied_Mathematics,12,2
Applied_Science,1,16
Architectural_Barriers_Act_(ABA),7,1
Architectural_Design,2,15
Architecture_and_Construction,16,13
Art_and_Illustration,3,1
Artificial_Intelligence_(AI),3,14
Asana,4,13
Asset_Management,3,9
Asynchronous_Transfer_Mode_(ATM),16,4
Auditing,14,10
Automation,5,4
Azure_Data_Factory,15,12
Azure_Data_Lake,15,12
Azure_DevOps,8,12
Backlogs,15,14
Balance_Sheet,6,10
Banking,5,7
Banking_Services,8,1
Banking_Software,16,4
Bash,12,2
Basic_Accounting_Principles,15,11
Beeline,3,14
Benchmarking,3,4
Benefits_Administration,14,3
BigQuery,1,15
Big_Data,15,2
Billing_and_Invoicing,11,16
Bitbucket,15,14
Blueprinting,7,1
Bookkeeping,6,10
Bootstrap,12,2
Branding,11,5
Brokerage,4,13
Budget_Analysis,7,3
Budget_Management,16,4
Build_Tools,13,13
Business,4,4
Business_Analysis,16,13
Business_Analysis_Body_Of_Knowledge_(BABOK),5,4
Business_Analytics,11,16
Business_Architecture,7,1
Business_Awareness,6,10
Business_Case,16,9
Business_Concepts,11,4
Business_Consulting,7,1
Business_Continuity,13,2
Business_Correspondence,12,0
Business_Development,1,15
Business_Development_Company_(BDC),14,1
Business_Economics,14,0
Business_Efficiency,5,10
Business_Expansion,11,15
Business_Informatics,3,1
Business_Intelligence,0,14
Business_Intelligence_Development,0,9
Business_Intelligence_Reporting,0,14
Business_Intelligence_Tools,10,6
Business_Management,5,7
Business_Metrics,1,16
Business_Modeling,4,13
Business_Operations,6,7
Business_Planning,16,9
Business_Priorities,11,15
Business_Process,7,1
Business_Process_Discovery,15,8
Business_Process_Improvement,5,3
Business_Process_Management,11,4
Business_Process_Mapping,2,11
Business_Process_Modeling,2,11
Business_Process_Monitoring_(BPM),0,9
Business_Process_Outsourcing,1,16
Business_Reporting,6,7
Business_Requirements,5,11
Business_Requirements_Documentation,2,11
Business_Software,8,4
Business_Solutions,5,4
Business_Strategy,4,4
Business_Structures,8,3
Business_Studies,2,11
Business_Systems,11,6
Business_Systems_Analysis,11,15
Business_Transformation,3,9
Business_Writing,16,4
C,12,0
C#,12,0
C++,12,2
C_and_C++,12,0
Calculations,4,13
Calibration,12,2
Call_Center_Experience,9,7
Call_center_software,9,8
Callouts,2,11
Campaign_Management,1,15
Candidate_Relationship_Management_(CRM),1,15
Capacity_Management,9,7
Capacity_Planning,9,12
Capital_Markets,0,9
Career_Development,8,4
Cascading_Style_Sheets_(CSS),12,2
Cash_Management,7,1
Certain,11,5
Change_Management,3,3
Change_Requests,5,3
Channel_Management,13,13
Chargeback,6,10
Client_Onboarding,13,7
Client_Services,10,15
Client_Support,2,4
Cloud_Computing,2,11
Cloud_Infrastructure,12,2
Cloud_Migration,12,2
Code_Sharing,10,6
Cold_Calling,7,3
Commercial_Finance,7,3
Commercial_Focus,6,10
Commercial_Software,2,4
Communication,2,4
"Company,_Product,_and_Service_Knowledge",11,4
Comparative_Analysis,10,6
Compensation_and_Benefits,1,15
Competitive_Analysis,11,4
Compliance_Requirements,13,15
Computer_Engineering,10,6
Computer_Science,16,11
Computer_Systems,5,4
Computing_Platforms,15,11
Concrete_and_Masonry,2,4
Configuration_Management,3,3
Conflict_Management,4,4
Conflict_Resolution,8,12
Confluence,4,13
Consignment,7,1
Consolidation,9,8
Construction,1,16
Construction_Engineering,1,16
Containerization,12,2
Content_Management,13,13
Content_Management_Systems,16,9
Content_Marketing,0,15
Continuous_Delivery,0,14
Continuous_Integration,0,14
Contract_Lifecycle_Management,5,7
Control_Systems,0,14
Corporate_Finance,0,9
Corporate_Governance,13,15
Cost_Accounting,8,1
Cost_Benefit_Analysis,8,4
Course_Development,6,1
Credit_Management,9,8
Crisis_Management,13,16
Cron,13,13
Culture_Transformation,4,4
Customer_Analytics,0,15
Customer_Data_Management,1,15
Customer_Inquiries,10,6
Customer_Marketing,1,16
Customer_Profitability,5,4
Customer_Relationship_Management,5,7
Customer_Relationship_Management_(CRM),8,4
Customer_Service,2,4
Customer_and_Client_Support,6,10
Dashboard,10,6
Data-Driven_Decision-Making,5,7
Data_Access,11,16
Data_Acquisition,16,1
Data_Administration,10,6
Data_Analysis,11,5
Data_Architecture,3,9
Data_Centers,3,9
Data_Cleansing,3,1
Data_Collection,1,15
Data_Compilation,1,15
Data_Consistency,10,6
Data_Dictionary,10,6
Data_Engineering,15,8
Data_Entry,2,11
Data_Exchange,13,13
Data_Extraction,1,15
Data_Files,9,8
Data_Flow_Diagram,3,14
Data_Governance,3,9
Data_Hub,3,9
Data_Infrastructure,3,9
Data_Integration,3,9
Data_Integrity,1,15
Data_Interfaces,7,1
Data_Lakes,0,15
Data_Maintenance,15,16
Data_Management,2,15
Data_Manipulation,10,6
Data_Mapping,3,9
Data_Mart,11,16
Data_Migration,8,1
Data_Mining,10,6
Data_Modeling,13,0
Data_Pipeline,1,15
Data_Presentation,3,14
Data_Processing,3,14
Data_Quality,9,12
Data_Retrieval,15,0
Data_Science,0,16
Data_Security,10,6
Data_Storage,0,16
Data_Storytelling,10,6
Data_Structures,13,13
Data_Transformation,1,16
Data_Validation,10,6
Data_Verification,16,3
Data_Visualization,1,16
Data_Warehouse_Systems,16,7
Data_Warehousing,0,14
Database_Administration,10,6
Database_Design,8,12
Database_Development,0,15
Database_Management,10,6
Database_Management_Systems,0,9
Database_Queries,16,9
Database_Schema,10,6
Database_Software,12,0
Database_Systems,15,0
Database_management_systems,0,9
Database_software,12,0
Databases,16,0
Databricks,3,9
Dataflow,4,13
Dataset,1,16
