node,HGPA_label,NMF_label
Acceptance_Testing,5,10
Access_Controls,7,4
Account_Management,1,10
Account_Planning,7,9
Accounting,2,8
Acting,4,1
Administration,1,10
Advertising,1,2
Agility,3,9
Algorithms,7,1
Amazon_Web_Services_(AWS),9,0
Analysis,4,1
Analytics,10,0
Android,6,10
Application_Development,4,1
Application_Programming_Interface_(API),10,6
Application_Security,0,7
Application_Security_Testing,0,7
Appraisals,1,10
Architecture_and_Construction,10,0
Artificial_Intelligence_(AI),3,9
Asset_Management,5,5
Auditing,6,10
Automation,9,0
Azure_DevOps,2,8
Backlogs,1,10
Banking,0,7
Benchmarking,8,4
Bidding,3,9
Billing_and_Invoicing,3,9
Budget_Management,2,8
Business,7,9
Business_Analysis,3,9
Business_Development,7,4
Business_Management,5,5
Business_Metrics,3,9
Business_Process,7,9
Business_Process_Outsourcing,7,9
Business_Requirements,8,4
Business_Software,1,10
Business_Solutions,6,9
Business_Systems,6,3
C,1,10
C#,1,10
C_and_C++,1,10
Candidate_Relationship_Management_(CRM),7,3
Capacity_Planning,3,9
Career_Development,9,0
Cascading_Style_Sheets_(CSS),10,0
Case_Management,4,1
Cloud_Services,7,4
Code_Review,0,7
Communication,7,9
"Company,_Product,_and_Service_Knowledge",7,9
Compensation_and_Benefits,6,3
Complex_Sales,7,9
Compliance_Management,5,5
Computer_Engineering,6,3
Computer_Hardware,4,1
Computer_Networks,6,3
Computer_Science,7,4
Computer_Systems,6,10
Conflict_Resolution,5,4
Construction,4,10
Containerization,2,8
Continuous_Integration,9,0
Continuous_Training,1,10
Coordinate_Systems,6,10
Corporate_Governance,0,7
Cross-Selling,4,10
Customer_Insights,1,10
Customer_Retention,7,9
Customer_Service,1,10
Customer_and_Client_Support,3,9
CyberArk,0,7
Cyber_Security,0,7
Dashboard,8,4
Data_Analysis,4,1
Data_Collection,4,1
Data_Entry,6,3
Data_Management,5,5
Data_Science,2,8
Data_Storage,4,1
Database_Administration,4,1
Databases,10,6
Debugging,8,4
Design,5,5
Design_Software,5,5
DevOps,10,0
Development_Environment,9,0
Development_Management,5,5
Digital_Advertising,1,2
Digital_Publishing,0,10
Digital_Systems,4,1
Docker,2,8
Dynatrace,2,8
E-Commerce,1,2
ERP_software,1,10
"Economics,_Policy,_and_Social_Studies",1,10
Education_and_Training,6,3
Electronics,6,3
Electronics_Engineering,6,3
Embedded_Systems,6,3
Emerging_Technologies,5,5
Employee_Engagement,2,8
Employee_Performance_Management,3,9
Endpoint_Security,0,7
Energy_and_Utilities,4,1
"Engineering,_Scientific,_and_Technical_Instruments",6,3
Engineering_Management,6,3
Engineering_Practices,2,8
Equity_and_Debt,3,9
"Fire_Prevention,_Safety,_and_Control",1,10
Firebug,1,2
Firewall,0,7
Full_Stack_Development,2,8
Geography,2,8
Git,10,0
Google_Cloud_Platform,10,6
Grafana,2,8
Health_Information_Systems_(HIS),2,1
Higher_Education,6,3
HyperText_Markup_Language_(HTML),9,0
IT_Infrastructure,0,7
IT_Sales,4,10
In-Plane_Switching_(IPS),0,7
Incident_Management,0,7
Industrial_Internet_Of_Things_(IIoT),4,1
Industrialization,8,4
Information_Security_Management,0,7
Information_Systems,0,7
Information_Technology,1,10
Initiative_and_Leadership,4,1
Integration_Platforms,9,0
Intrusion_Detection_Systems,7,4
JSON,8,4
Java,10,0
JavaScript,10,0
JavaScript_and_jQuery,10,0
Jenkins,10,0
Key_Management,0,7
Knowledge_Management,6,3
Kotlin,8,4
Kubernetes,2,8
Language,6,10
"Law,_Regulation,_and_Compliance",2,8
Learning_Management_Systems,0,10
Linear_Programming,6,3
Linux,9,0
Load_Time,2,8
Machinery,4,1
"Maintenance,_Repair,_and_Facility_Services",7,1
Management_Systems,6,3
Manufacturing_and_Production,4,1
Marketing,2,8
Matrix_Management,4,1
McAfee,0,7
Media_Management,9,0
Media_and_Writing,9,0
Message_Broker,10,6
Meter_Data_Management,5,5
Microservices,10,0
Microsoft_Office,6,3
Middleware,7,4
Mobile_App,10,6
MongoDB,9,0
MyBatis,9,0
MySQL,9,0
Netsuite,5,10
Network_Infrastructure,6,3
Nginx,9,0
NoSQL,2,8
Object-Oriented_Analysis_And_Design,7,1
Object-Oriented_Programming_(OOP),10,0
Object-Relational_Mapping,8,4
Online_Advertising,1,2
Open_Web_Application_Security_Project_(OWASP),0,7
Operating_Systems,3,9
Operational_Efficiency,4,1
Operational_Excellence,8,4
Operations_Management,8,4
Outsourcing,7,9
PHP,7,9
Patch_Management,0,7
Payroll,3,9
People_Management,10,0
Performance_Analytics,8,4
Performance_Management,4,1
Performance_Review,3,9
Perl,7,4
"Policy_Analysis,_Research,_and_Development",7,1
PostgreSQL,10,4
Power_BI,4,10
Predictive_Analytics,8,4
Presentation_Software,5,4
Presentation_software,5,4
Private_Equity,3,9
Problem_Solving,8,4
