node,HGPA_label,NMF_label
Acceptance_Testing,3,5
Accounting,3,5
Acting,11,7
Active_Directory,7,10
Ada,10,7
Administration,11,3
Amazon_Web_Services_(AWS),11,10
Analysis,8,0
Analytics,1,11
Application_Deployment,1,8
Application_Development,0,2
Application_Programming_Interface_(API),5,8
Application_Security,6,9
Application_Servers,7,1
Application_Services,11,7
Application_Testing,0,6
Architecture_and_Construction,7,9
AutoCAD,7,1
Automation,4,5
Banking,3,5
Bash,1,11
BigQuery,5,8
Billboards,1,6
Billing_and_Invoicing,1,11
Biometrics,6,9
Boosting,2,11
Build_Process,1,6
Business,7,11
Business_Analysis,9,3
Business_Continuity,0,2
Business_Development,6,9
Business_Process,0,2
Business_Relationship_Management,6,9
Business_Requirements,6,9
Business_Solutions,0,2
Calculations,3,5
Call_Center_Experience,2,11
Candidate_Relationship_Management_(CRM),1,11
Capacity_Management,6,9
Capacity_Planning,7,0
Career_Development,10,4
Cascading_Style_Sheets_(CSS),1,6
Case_Management,0,6
Cashiering,7,1
Certain,4,2
Change_Advisory,4,5
Change_Control,10,4
Change_Management,3,5
Change_Requests,4,5
Cisco_Meraki,10,4
Cisco_Routers,6,9
Cisco_Switching,10,4
Citrix,11,3
Citrix_XenApp,9,3
Civil_and_Architectural_Engineering,7,1
Cloud_Computing,9,10
Cloud_Services,11,7
Cloud_Storage,5,8
Cloud_Technologies,9,10
Communication,2,11
Communications_Systems,2,11
"Company,_Product,_and_Service_Knowledge",4,5
Compensation_and_Benefits,4,5
Computer_Engineering,7,9
Computer_Hardware,8,10
Computer_Programming,8,10
Computer_Science,4,2
Computer_Systems,4,3
Configuration_Management,0,2
Consolidation,3,5
Content_Creation,2,11
Content_Management,1,6
Content_Marketing,2,11
Crisis_Management,8,0
Customer_Engagement,11,7
Customer_Relationship_Management,5,8
Customer_Retention,2,11
Customer_Service,8,0
Customer_and_Client_Support,2,11
Cybersecurity,6,9
Data_Analysis,1,11
Data_Collection,3,5
Data_Entry,4,3
Data_Exchange,4,11
Data_Management,3,5
Data_Recovery,8,10
Database_Systems,10,7
Databases,4,6
Datadog,1,11
Debugging,1,11
Delivery_Performance,6,9
Design,11,10
Design_Reviews,2,11
Design_Specifications,9,3
Desktop_Support,5,4
DevOps,1,8
Digital_Marketing,2,11
Disaster_Recovery,6,9
Distributed_Computing,5,8
Docker,1,8
Drupal,5,8
Dynamic_Host_Configuration_Protocol_(DHCP),6,9
"Economics,_Policy,_and_Social_Studies",3,5
Education_and_Training,7,9
Electrical_and_Computer_Engineering,9,3
Electricity,10,7
Electronics,6,9
Electronics_Engineering,6,9
Employee_Benefits,3,5
Employee_Onboarding,3,5
Encryption,6,9
Encryption_Software,5,4
Encryption_software,5,4
Endpoint_Management,9,3
Energy_and_Utilities,2,11
"Engineering,_Scientific,_and_Technical_Instruments",4,2
Entrepreneurship,8,0
Environmental_Analysis,10,4
Ethical_Hacking,6,9
Event_Viewer,9,10
Events_and_Conferences,8,0
Experimentation,9,3
Failover,6,9
File_Structure,3,5
Finance,4,2
Financial_Institution,4,2
Financial_Management,3,5
Financial_Services,10,4
Financial_Systems,3,5
"Fire_Prevention,_Safety,_and_Control",0,2
Firefox,2,11
Firewall,7,9
Fixed_Return_Option_(FRO),7,10
Fortinet,7,9
Genesys,5,8
Git,5,8
Google,3,5
Google_Docs,3,5
Headsets,1,6
Health_Information_Systems_(HIS),8,0
Health_Maintenance,8,10
Human_Resources,1,6
Human_Resources_Information_System_(HRIS),3,5
Hyper-V,9,3
HyperText_Markup_Language_(HTML),0,2
IPv4,6,9
IT_Service_Management,0,2
Imaging,11,3
In-Plane_Switching_(IPS),6,9
Industrial_Engineering,7,1
Influencer_Marketing,2,11
Infoblox,8,0
Information_Governance,4,5
Information_Management,3,5
Information_Systems,1,6
Information_Technology,11,3
Infrastructure_Management,8,10
Initiative_and_Leadership,0,2
Inquiry,4,2
Installation,11,3
Internet_Of_Things_(IoT),1,6
Internetworking,11,7
Inventory_Control,7,1
Inventory_and_Warehousing,7,1
JIRA,11,10
JSON,5,8
Java,0,2
JavaScript,0,2
JavaScript_Libraries,0,6
JavaScript_and_jQuery,0,2
Kiosks,1,6
Knowledge_Base,11,10
LAMP_Stack,5,8
Language,4,2
"Law,_Regulation,_and_Compliance",5,4
Lifecycle_Management,8,0
Linux,4,2
Linux_Servers,11,3
LiveChat,2,11
Loans,10,7
"Maintenance,_Repair,_and_Facility_Services",7,9
Managed_Services,6,9
Management_Information_Systems,1,6
Management_Systems,7,1
Manufacturing_and_Production,0,2
MapReduce,5,8
Marketing,2,11
McAfee,6,9
Mechanical_Engineering,7,1
Media_and_Writing,2,11
Microsoft_Active_Directory,9,3
Microsoft_Azure,9,10
Microsoft_Excel,3,5
Microsoft_Exchange,9,3
Microsoft_Networking,9,10
Microsoft_Office,10,7
Microsoft_PowerShell,9,3
Microsoft_Project,10,7
Microsoft_System_Center,5,4
Microsoft_Windows,10,7
Mobile_Development,4,6
Money_Market,4,2
NIST_800,10,4
National_Airspace_System_(NAS),7,10
NetFlow,8,0
Netscaler,8,0
Netsuite,1,11
Network_Administration,10,4
Network_Architecture,7,9
Network_Infrastructure,10,4
Network_Management,10,4
Network_Management_System,11,7
Network_Security,8,0
Network_Service,8,0
Network_Support,8,0
Network_Troubleshooting,6,9
Nitro_PDF,10,7
NoSQL,5,8
OAuth,5,8
OpenManage,9,10
Open_Shortest_Path_First_(OSPF),8,0
Operating_Systems,11,3
Operations_Management,7,1
Oracle,0,2
Other_Programming_Languages,0,2
Outbound_Calls,2,11
PHP,5,8
PL/SQL,0,2
