node,HGPA_label,NMF_label
ADO.NET,6,15
AJAX,2,12
ASP.NET,1,8
Acceptance_Testing,11,14
Account_Management,11,14
Accounting,2,2
Accounts_Payable_and_Receivable,3,2
Accounts_Receivable,3,2
Accruals,4,5
Acting,14,9
Active_Directory,15,11
Active_Server_Pages_(ASP),1,8
Acumatica,4,5
Ad_Hoc_Reporting,5,3
Administration,5,2
Administrative_Support,14,4
Advanced_Business_Application_Programming_(ABAP),3,2
Advanced_Manufacturing,5,2
Agile_Methodology,0,14
Agile_Project_Management,14,9
Agile_Projects,15,4
Algorithms,2,1
Amazon_Web_Services_(AWS),9,11
Analysis,11,14
Analytical_Thinking,14,9
Analytics,7,13
Android,8,11
Android_SDK,8,11
Android_Studio,8,11
Apache,2,1
Apache_CXF,8,1
Apex_Code,7,3
AppExchange,5,3
Application_Design,6,15
Application_Development,7,12
Application_Programming_Interface_(API),15,11
Application_Servers,13,8
Application_Testing,6,10
Applied_Science,0,9
Appraisals,6,10
Architectural_Design,0,14
Architecture_and_Construction,8,12
Art_and_Illustration,14,9
Artificial_Intelligence_(AI),14,9
Asana,0,14
Asset_Management,5,5
Asset_Tracking,4,5
Asynchronous_Transfer_Mode_(ATM),0,9
Auditing,0,9
Automation,6,13
Azure_DevOps,0,9
Backlogs,9,1
Balanced_Scorecard,9,1
Banking,13,9
Banking_Software,14,9
Baselining,1,14
Bash,14,9
BeanShell,8,10
Benchmarking,14,4
Benefits_Administration,9,1
Bill_Of_Materials,0,14
Billing_Systems,10,10
Billing_and_Invoicing,4,0
Bootstrap,6,13
Branching_And_Merging,2,8
Branding,10,6
Brochures,12,4
Business,6,14
Business_Analysis,13,14
Business_Analysis_Body_Of_Knowledge_(BABOK),0,9
Business_Analytics,15,11
Business_Architecture,13,4
Business_Case,4,0
Business_Communication,12,4
Business_Consulting,0,14
Business_Continuity,9,11
Business_Correspondence,11,6
Business_Development,9,1
Business_Development_Company_(BDC),2,2
Business_Intelligence,4,0
Business_Intelligence_Tools,11,0
Business_Logic,1,8
Business_Management,3,2
Business_Operations,11,3
Business_Planning,10,10
Business_Process,8,14
Business_Process_Management,7,12
Business_Process_Mapping,8,14
Business_Process_Modeling,8,14
Business_Process_Monitoring_(BPM),7,12
Business_Reporting,14,4
Business_Requirements,11,14
Business_Software,12,8
Business_Solutions,0,14
Business_Strategy,7,12
Business_Studies,13,7
Business_Systems,15,11
Business_software_applications,12,8
C,1,8
C#,1,8
C++,12,4
C_#,6,15
C_and_C++,1,8
Call_Flow,15,4
Candidate_Relationship_Management_(CRM),11,3
Career_Development,9,1
Caregiving,7,3
Cascading,1,8
Cascading_Style_Sheets_(CSS),2,1
Case_Management,7,3
Cash_Management,5,5
Certain,11,3
Change_Control,5,3
Change_Management,10,10
Change_Requests,7,12
Chargeback,4,5
Client_Onboarding,13,4
Client_Services,8,4
Closing_Skills,5,3
Cloud_Applications,12,4
Cloud_Infrastructure,9,11
Cloud_Services,9,3
Cloud_Technologies,7,12
Code_Coverage,5,3
Code_Review,7,12
Collaborative_Design,15,4
Commenting,6,8
Commercial_Software,7,12
Commissioning,15,4
Communication,14,9
"Company,_Product,_and_Service_Knowledge",13,7
Compensation_Management,12,4
Compensation_and_Benefits,12,4
Complex_Sales,5,3
Compliance_Requirements,9,11
Component_Object_Model_(COM),14,9
Computer_Engineering,12,8
Computer_Hardware,8,1
Computer_Programming,7,12
Computer_Science,2,7
Computer_Systems,1,8
Computerized_Accounting,6,15
Concrete_and_Masonry,1,8
Configuration_Management,8,1
Conflict_Resolution,12,4
Confluence,4,0
Consolidation,14,4
Construction,11,14
Content_Management,12,4
Continuous_Delivery,2,8
Contract_Lifecycle_Management,11,6
Contract_Management,8,4
Control_Systems,11,6
Copywriting,12,4
Core_Banking,14,9
Core_Product,13,9
Corporate_Finance,11,6
Corporate_Services,11,14
Corporate_Social_Responsibility,13,2
Corrective_Maintenance,7,3
Cost_Accounting,13,2
Cost_Benefit_Analysis,8,14
Cost_Management,0,14
Custom_Fields,5,3
Custom_Object,3,7
Customer_Engagement,10,10
Customer_Inquiries,11,3
Customer_Relationship_Management,5,3
Customer_Relationship_Management_(CRM),5,3
Customer_Service,8,8
Customer_and_Client_Support,14,9
Cyber_Security,9,11
Cybersecurity,10,10
Dashboard,5,3
Data_Analysis,14,4
Data_Architecture,8,10
Data_Cleansing,5,3
Data_Collection,8,0
Data_Conversion,6,14
Data_Dictionary,4,2
Data_Entry,11,3
Data_Extraction,1,8
Data_Files,11,3
Data_Flow_Diagram,0,14
Data_Governance,3,2
Data_Infrastructure,11,3
Data_Integration,5,3
Data_Integrity,11,3
Data_Maintenance,5,3
Data_Management,13,2
Data_Manipulation,14,4
Data_Mapping,13,4
Data_Mart,4,0
Data_Migration,3,2
Data_Mining,6,10
Data_Modeling,4,0
Data_Pipeline,4,0
Data_Processing,12,4
Data_Quality,5,3
Data_Security,5,5
Data_Storage,14,4
Data_Store,11,0
Data_Structures,9,1
Data_Validation,14,4
Data_Visualization,10,6
Data_Warehousing,4,0
Database_Administration,11,3
Database_Design,6,15
Database_Development,1,8
Database_Management,14,4
Database_Management_Systems,14,4
Database_Schema,0,14
Database_Systems,13,14
Database_management_systems,14,4
Databases,7,12
Dataset,11,3
Debugging,2,1
Defect_Life_Cycle,7,3
Defect_Tracking,1,8
Demand_Planning,3,2
Demandware,9,1
Design,0,14
Design_Reviews,8,14
Design_Specifications,1,14
Design_Thinking,15,4
DevOps,0,9
DevSecOps,0,9
Development_Environment,7,12
Diagnostic_Tests,7,12
Dig,4,5
Digital_Arts,15,4
Digital_Marketing,9,1
Digital_Transformation,2,1
Disaster_Recovery,9,11
Disaster_Recovery_Plan,9,11
Dissemination,10,6
Django,1,8
Document_Management,9,11
Domo,5,3
Drawing,13,14
Due_Diligence,10,6
Dynatrace,8,0
E-Business,15,11
E-Commerce,9,1
E-Procurement,4,5
ERP_software,12,4
Easily_Applicable_Graphical_Layout_Editor_(EAGLE),9,11
Eclipse_IDE,12,4
"Economics,_Policy,_and_Social_Studies",10,6
Education_and_Training,10,6
Electrical_and_Computer_Engineering,10,10
Electronic_Documents,12,4
Electronics,1,8
Eloqua,6,13
Emergency_Management,12,14
Emergency_Response,7,3
Emerging_Technologies,9,1
End_Systems,9,1
Endpoint_Security,4,5
Energy_and_Utilities,0,8
"Engineering,_Scientific,_and_Technical_Instruments",2,7
Engineering_Management,14,9
Enterprise_Service_Bus,15,11
Equity_and_Debt,10,6
Event_Monitoring,10,10
Events_and_Conferences,12,4
Exchange-Traded_Products_(ETP),11,10
Experimentation,13,9
Extract_Transform_Load_(ETL),11,0
Facebook,8,11
Family_Planning,10,6
File_Transfer,15,11
File_Transfer_Protocol_(FTP),15,11
Finance,13,2
FinancialForce,5,3
Financial_Analysis,14,4
Financial_Data,5,3
Financial_Integration,10,6
Financial_Planning,14,4
Financial_Reporting,14,4
Financial_Services,4,5
Financial_Software,11,6
Financial_Systems,4,0
"Fire_Prevention,_Safety,_and_Control",5,2
Fixed_Asset,5,5
Flowcharts,13,8
Force.Com,5,3
Forging,14,9
Functional_Design,1,14
Functional_Process,13,4
Functional_Requirement,13,14
Functional_Specification,2,7
Functional_Testing,13,7
Fundraising_and_Crowdsourcing,7,3
Gap_Analysis,6,10
General_Accounting,14,4
General_Ledger,3,2
Generally_Accepted_Accounting_Principles,13,4
Genetics,8,10
Git,2,1
GitHub,5,3
Github,5,3
Google,6,13
Google_Analytics,6,13
Google_Play,8,11
Google_Sheets,11,3
Grafana,8,0
Group_Policy,15,11
HTML5,1,8
Health_Administration,14,4
Health_Care,10,6
Health_Information_Systems_(HIS),4,5
Health_Systems,10,6
Help_Desk_Support,14,4
Heroku,7,3
Human_Capital,3,2
Human_Capital_Management_(HCM),3,2
Human_Resources,11,14
Human_Resources_Information_System_(HRIS),13,14
HyperText_Markup_Language_(HTML),7,1
IBM_Maximo,5,5
IBM_Maximo_Asset_Management,5,5
IDoc,6,10
IT_General_Controls_(ITGC),13,14
IT_Infrastructure,0,9
IT_Service_Management,1,8
In-Plane_Switching_(IPS),10,6
Inbound_Marketing,6,13
Incident_Management,10,10
Incident_Response,10,10
Indexing,4,5
Industrial_Engineering,1,8
Infomax,15,11
Informatica,8,0
Informatics,6,15
Informatics_Engineering,6,15
Information_Architecture,7,3
Information_Design,15,4
Information_Management,13,7
Information_Security_Management,9,11
Information_Systems,12,8
Information_Technology,8,8
Initiative_and_Leadership,10,6
Installation,15,11
Integration_Platform_As_A_Service_(IPaaS),15,11
Integration_Platforms,5,3
Integration_Testing,2,7
Intercom,7,3
Internal_Controls,13,8
International_Standards,8,1
Inventory_Accounting,6,10
Inventory_Management,3,2
Inventory_and_Warehousing,3,2
Investment_Management,3,7
Investments,0,9
Invoice_Matching,6,10
Invoicing,4,5
Issue_Tracking,6,8
JDeveloper,2,1
JIRA,11,14
JSON,15,11
JUnit,2,1
Java,2,1
JavaScript,6,8
JavaScript_Frameworks,8,1
JavaScript_and_jQuery,6,8
Java_11,2,1
Java_Enterprise_Edition,2,1
Jenkins,2,1
Job_Control_Language_(JCL),1,8
Job_Costing,14,9
Journalism,10,6
Junit,2,1
Knowledge_Base,2,1
Language,10,6
"Law,_Regulation,_and_Compliance",9,3
Lean_Manufacturing,4,5
Legislation,10,6
Liberal_Arts,10,6
Library_and_Archiving,9,1
Licensing,4,5
Lifecycle_Management,11,6
Linux,10,10
Linux_Scripting,8,10
LiveChat,9,11
Loans,13,4
MYOB,14,9
Machine_Learning_(ML),14,9
Magento,6,13
"Maintenance,_Repair,_and_Facility_Services",5,2
Managed_Services,10,10
Management_Information_Systems,6,14
Management_Systems,14,4
Manufacturing_Execution_System_(MES),0,14
Manufacturing_and_Production,5,2
Market_Research,15,9
Marketing,7,13
Marketing_Automation,6,13
Marketing_Materials,12,4
Marketing_Operations,1,8
Marketing_Strategy,4,0
Marketo,5,3
Master_Data_Management,3,2
Materials_Management,6,10
Media_and_Writing,12,4
Mediation,10,10
Memory_Technology_Device_(MTD),3,2
Microservices,0,9
Microsoft_365,1,8
Microsoft_Azure,0,9
Microsoft_Dynamics,4,5
Microsoft_Dynamics_365,13,5
Microsoft_Dynamics_365_for_Finance_and_Operations,13,5
Microsoft_Dynamics_CRM,9,11
Microsoft_Dynamics_NAV,13,4
Microsoft_Excel,11,3
Microsoft_Office,12,4
Microsoft_SQL_Server,15,11
Microsoft_Visual_Basic,12,4
Microsoft_Word,9,1
Middleware,8,0
