node,HGPA_label,NMF_label
.NET_Framework,11,7
API_Design,3,7
API_Gateway,13,2
API_Management,6,13
ASP.NET,10,13
AUTO,7,10
AWK,7,10
AWS_CloudFormation,7,10
AWS_Lambda,2,1
Acceptance_Testing,9,10
Access_Network,8,6
Accounting,8,7
Acting,14,4
Active_Directory,5,2
Ada,12,14
Administration,12,10
Adobe_Analytics,0,11
Adobe_Audience_Manager,0,11
Adobe_Marketing_Cloud,0,11
Adobe_Target,0,11
Advanced_Cardiovascular_Life_Support_(ACLS),2,0
Agile_Methodology,5,2
Agile_Product_Development,5,2
Agile_Software_Development,13,7
Agility,5,2
Algebra,13,8
Algorithms,13,8
Amazon_Connect,7,10
Amazon_Web_Services_(AWS),5,2
Analysis,2,0
Analytical_Thinking,8,12
Analytics,0,11
Android,6,13
Android_Applications,11,13
Anomaly_Detection,14,13
Ansible,7,10
Antenna,8,12
Apache,4,9
Apache_Hadoop,13,8
Apigee,13,2
AppExchange,13,10
Application_Deployment,5,2
Application_Design,6,13
Application_Development,6,13
Application_Programming_Interface_(API),14,13
Application_Security,9,6
Application_Servers,4,9
Application_Services,2,1
Applied_Mathematics,13,8
Architectural_Design,7,6
Architectural_Development,9,10
Architectural_Models,0,11
Architectural_Patterns,6,13
Architecture_Analysis,0,11
Architecture_Framework,2,0
Architecture_and_Construction,11,11
Art_and_Illustration,9,10
Articulation,7,6
Artificial_Intelligence_(AI),11,11
Asset_Management,10,4
Asset_Tracking,10,12
Asynchronous_Transfer_Mode_(ATM),1,1
AutoCAD,11,0
Automation,12,2
Azure_DevOps,5,2
Backup_Software,12,9
Banking,5,2
Bare_Metal,4,9
Basecamp,14,13
Bash,5,2
Batch_Processing,12,9
Batteries,10,12
Benchmarking,7,10
Bid_Management,13,10
BigQuery,7,10
Big_Data,11,11
Billing_and_Invoicing,9,10
Biomass,10,12
Bit.ly,11,11
Bitbucket,11,11
Block_Storage,4,9
Blockchain,5,2
Blogs,11,13
Bluetooth,10,12
Boosting,13,8
Bootstrap,11,11
Broadcasting,8,12
Brokerage,10,12
Browser_Compatibility,6,13
Business,3,11
Business_Analysis,2,11
Business_Analytics,2,0
Business_Architecture,6,13
Business_Awareness,9,10
Business_Case,7,6
Business_Continuity,9,10
Business_Continuity_Planning,9,10
Business_Correspondence,1,14
Business_Development,9,10
Business_Intelligence,0,11
Business_Intelligence_Tools,0,11
Business_Leadership,14,2
Business_Logic,5,2
Business_Management,7,6
Business_Operations,8,12
Business_Planning,0,11
Business_Priorities,6,13
Business_Process,0,11
Business_Process_Automation,11,7
Business_Process_Outsourcing,0,11
Business_Requirements,0,11
Business_Sense,8,12
Business_Solutions,6,13
Business_Strategy,14,13
Business_Studies,4,9
Business_Support_Systems,3,3
Business_Systems,4,9
C,6,7
C#,6,7
C++,10,12
CA_SiteMinder,4,9
CPanel,10,10
C_and_C++,6,7
Cacti,12,9
Calibration,4,9
Call_Flow,1,1
Call_Recording,8,6
Candidate_Relationship_Management_(CRM),3,11
Capacity_Development,8,12
Capacity_Management,2,1
Capacity_Planning,9,10
Capacity_Utilization,0,11
Capital_Markets,9,10
Career_Development,11,11
Cascading_Style_Sheets_(CSS),6,13
Certain,6,13
Change_Control,7,6
Change_Management,9,10
Change_Requests,12,14
ChatOps,11,13
Chatbot,11,13
Chef,5,2
Circuit_Diagrams,8,5
Cisco_AnyConnect,1,1
Cisco_IOS,1,5
Cisco_Networking,8,12
Cisco_Routers,1,5
Cisco_Switching,1,5
Cisco_firePOWER,2,5
Citrix,5,2
Classification_And_Regression_Tree_(CART),4,3
Cloud_Applications,9,10
Cloud_Automation,7,10
Cloud_Computing,14,4
Cloud_Development,3,7
Cloud_Engineering,7,10
Cloud_Formation,9,10
Cloud_Hosting,4,9
Cloud_Infrastructure,9,10
Cloud_Management,14,4
Cloud_Migration,3,7
Cloud_Services,14,14
Cloud_Solutions,7,10
Cloud_Strategy,12,10
Cloud_Technologies,14,13
Code_Conversion,5,2
Code_Coverage,13,7
Code_Review,13,7
Code_Sharing,5,2
Commissioning,14,12
Communication,14,7
Community_Development,11,0
"Company,_Product,_and_Service_Knowledge",11,11
Compensation_and_Benefits,10,12
Compliance_Requirements,11,6
