node,HGPA_label,NMF_label
API_Design,6,5
AS2,0,8
ASP.NET,0,8
AWS_Glue,14,8
AWS_Kinesis,3,4
AWS_Lambda,7,7
Ab_Initio,7,4
Acceptance_Testing,0,0
Account_Aggregation,12,5
Account_Development,1,0
Account_Management,1,0
Accounting,14,0
Accounting_and_Finance_Software,1,0
Accounting_software,1,0
Accounts_Payable_and_Receivable,0,0
Accounts_Receivable,1,0
Acting,8,3
Active_Directory,9,6
Active_Server_Pages_(ASP),9,6
Ad_Hoc_Analysis,14,9
Ad_Hoc_Reporting,2,9
Administration,10,6
Advertising,0,0
Agile_Software_Development,6,5
Agility,5,2
Airflow,3,1
Airport_Concessions_Disadvantaged_Business_Enterprise_(ACDBE),0,0
Algebra,7,1
Algorithms,1,9
Alibaba_Cloud,14,1
Alteryx,5,10
Amazon_Kinesis,11,5
Amazon_QuickSight,7,1
Amazon_Redshift,10,12
Amazon_Web_Services_(AWS),5,1
Analysis,12,10
Analytical_Techniques,7,7
Analytical_Thinking,3,3
Analytical_software,14,1
Analytics,12,10
Annual_Reports,4,5
Anomaly_Detection,7,7
Ansi_Sql,13,4
Ansible,10,14
Apache,10,1
Apache_Airflow,3,4
Apache_Beam,3,4
Apache_Cassandra,3,4
Apache_Hadoop,4,5
Apache_Kafka,3,4
Apache_NiFi,10,14
Apache_Spark,3,4
Apex_Code,8,3
Application_Data,12,13
Application_Development,7,7
Application_Environments,11,13
Application_Programming_Interface_(API),6,8
Application_Security,4,5
Applied_Mathematics,7,1
Applied_Statistics,4,13
Appraisals,2,11
ArangoDB,11,5
Architectural_Design,13,10
Architecture_and_Construction,3,4
Art_and_Illustration,4,13
Artificial_Intelligence_(AI),7,7
Artificial_Neural_Networks,1,9
Asana,14,2
Asset_Management,0,8
Audit_Engagements,11,7
Auditing,14,1
Augmented_Reality,2,2
AutoCAD,14,0
Automation,13,3
Autoscaling,0,8
Azkaban,3,4
Azure_Blob_Storage,12,12
Azure_Cloud_Services,8,4
Azure_Data_Factory,8,3
Azure_Data_Lake,10,12
Azure_Databricks,3,3
Azure_DevOps,3,3
Azure_Machine_Learning,2,9
Backup_And_Restore,11,13
Balance_Sheet,0,0
Banking,4,13
Bash,9,14
Basic_Research,11,1
Batch_Processing,3,4
Batteries,5,2
Bayesian_Networks,7,7
Benchmarking,4,5
BigQuery,3,4
Big_Data,8,1
Big_Data_Analytics,12,12
Billing_and_Invoicing,1,0
Biometrics,8,12
Bitbucket,0,8
Blockchain,14,9
Blogs,14,2
Bookkeeping,0,0
Boosting,1,9
Bounce_Rate,8,3
Brand_Analysis,13,11
Brokerage,10,6
Budget_Management,4,13
Bug_Tracking_Systems,10,14
Build_Tools,14,9
Business,12,10
Business_Analysis,5,10
Business_Analytics,11,5
Business_Case,2,9
Business_Case_Analysis,2,9
Business_Communication,13,10
Business_Concepts,4,13
Business_Correspondence,5,13
Business_Development,1,0
Business_Economics,13,13
Business_Efficiency,2,9
Business_Intelligence,12,12
Business_Intelligence_Development,14,10
Business_Intelligence_Software,10,12
Business_Intelligence_Tools,12,10
Business_Leadership,11,13
Business_Logic,12,7
Business_Management,4,13
Business_Metrics,7,7
Business_Operations,14,0
Business_Planning,12,10
Business_Process,9,6
Business_Process_Management,12,12
Business_Process_Outsourcing,13,0
Business_Requirements,8,12
Business_Software,12,10
Business_Solutions,1,9
Business_Strategy,1,9
Business_Studies,1,2
Business_Systems,14,2
Business_intelligence_software,10,12
Business_software_applications,12,10
C,10,6
C#,3,3
C++,8,3
C_and_C++,10,6
Calculations,6,5
Calculus,7,1
Calibration,4,0
Call_Center_Experience,6,11
Candidate_Relationship_Management_(CRM),8,3
Capacity_Management,8,4
Capacity_Planning,9,6
Capital_Markets,11,7
Care_Management,6,5
Career_Development,2,9
Case_Management,12,9
CentOS,10,4
Certain,0,8
Chain_Of_Custody,12,3
Change_Control,6,8
Change_Management,8,3
Change_Requests,8,3
Chatbot,6,5
Chemistry,11,7
Citrix,9,6
Classification_And_Regression_Tree_(CART),7,7
Client_Services,14,2
Clinical_Experience,6,11
Cloud_Administration,9,14
Cloud_Computing,13,11
Cloud_Engineering,5,1
Cloud_Infrastructure,6,11
Cloud_Migration,9,6
Cloud_Services,3,4
