node,HGPA_label,NMF_label
2D_Animation,6,3
AUTO,6,0
Acceptance_Testing,1,8
Accounting,0,4
Administration,0,4
Adobe_After_Effects,6,3
Adobe_Analytics,7,7
Adobe_Creative_Suite,7,0
Adobe_Illustrator,6,3
Adobe_Photoshop,6,3
Advertising,10,10
Algebra,8,2
Algorithms,8,2
Amazon_Web_Services_(AWS),4,5
Analysis,0,4
Analytical_Thinking,9,7
Analytics,7,7
Android,1,8
Anime,6,0
Applicant_Tracking_Systems,9,8
Application_Development,3,6
Application_Programming_Interface_(API),2,5
Applied_Statistics,8,2
Architecture_and_Construction,2,5
Art_and_Illustration,7,0
Automation,4,10
Automotive_Industry,10,1
Backlinks,8,2
Banking,1,10
Banking_Services,1,10
Bash,2,5
Basic_Technical_Knowledge,5,9
Benchmarking,1,8
Big_Data,1,8
Blogs,7,7
Broadcasting,9,8
Business,1,8
Business_Analysis,1,10
Business_Case,0,4
Business_Development,10,10
Business_Management,9,4
Business_Process,3,6
Business_Strategy,0,4
C,4,10
C#,4,10
C_and_C++,4,10
Candidate_Relationship_Management_(CRM),10,10
Care_Management,5,9
Cascading_Style_Sheets_(CSS),8,2
Certain,5,9
Chemical_and_Biomedical_Engineering,9,1
Chemistry,9,1
Cloud_Computing,2,5
Cloud_Infrastructure,4,10
Commissioning,10,1
Communication,1,10
"Company,_Product,_and_Service_Knowledge",9,2
Compensation_and_Benefits,1,8
Competitor_Analysis,8,2
Computer_Engineering,0,8
Computer_Numerical_Control_(CNC),10,1
Computer_Science,2,5
Conceptualization,6,3
Conflict_Management,0,4
Construction,6,9
Content_Creation,8,2
Content_Management,8,2
Content_Marketing,7,7
Creative_Design,6,3
Customer_Service,8,2
Data_Analysis,1,8
Data_Extraction,1,8
Data_Integration,0,4
Data_Manipulation,0,8
Data_Security,5,9
Data_Streaming,3,6
Databases,3,6
Deep_Learning,8,2
Demand_Generation,7,7
Demand_Planning,9,8
Design,3,6
DevOps,4,5
Digital_Ads,2,5
Digital_Advertising,10,10
Digital_Content,7,7
Digital_Marketing,9,7
Digital_Media,7,7
Digital_Sales,10,1
Digital_Sketching,7,0
Docker,3,6
Dynamic_Content,5,9
Dynamic_Object-Oriented_Requirements_System_(DOORS),1,8
"Economics,_Policy,_and_Social_Studies",6,9
Economy,1,10
Education_and_Training,8,2
Electrical_Wiring,6,9
Electrical_and_Computer_Engineering,6,9
Electronics,10,1
Employee_Engagement,5,9
"Engineering,_Scientific,_and_Technical_Instruments",0,8
Events_and_Conferences,8,2
Facebook,9,7
Failure_Analysis,10,1
Field_Testing,1,8
Finance,7,0
Financial_Planning,5,9
Financial_Reporting,5,9
"Fire_Prevention,_Safety,_and_Control",6,3
Firebase,3,6
Food_and_Beverage,7,0
Functional_Design,1,10
Functional_Testing,10,10
General_Ledger,5,9
Gimbal,10,1
Git,3,6
Gitlab,3,6
Google,4,5
Google_Ad_Manager,7,7
Google_Analytics,9,7
Google_Cloud_Platform,4,6
Google_Kubernetes_Engine_(GKE),3,6
Google_Search_Console,2,5
Google_Tag_Manager,8,2
GraphQL,3,6
Graphic_and_Visual_Design,6,0
Health_Information_Systems_(HIS),8,2
HyperText_Markup_Language_(HTML),2,5
Illustration,6,3
Indexing,2,5
Infographics,6,3
Information_Management,3,6
Information_Systems,2,5
Information_Technology,2,5
Initiative_and_Leadership,1,8
Instagram,7,0
Installation,10,1
JIRA,4,10
JSON,2,5
Java,3,6
JavaScript,2,5
JavaScript_and_jQuery,2,5
Keyword_Research,8,2
Kubernetes,3,6
Language,3,6
"Law,_Regulation,_and_Compliance",5,9
Lead_Generation,7,7
Library_and_Archiving,5,9
Machine_Learning_(ML),8,2
"Maintenance,_Repair,_and_Facility_Services",10,1
Management_Information_Systems,2,5
Manufacturing_and_Production,10,1
Market_Opportunities,9,8
Market_Research,0,8
Marketing,9,7
Marketing_Strategy,7,7
Mass_Communication,2,5
Media_and_Writing,7,7
Medical_Equipment_and_Technology,9,8
Micrometer,10,1
Microservices,3,6
Multimedia,6,3
Net_Income,5,9
Network_Management,4,10
Object_Model,4,5
Office_and_Productivity_Software,10,1
Outside_Sales,10,10
PHP,5,9
Pagination,8,2
Patch_Management,4,10
Peripheral_Component_Interconnect_(PCI),4,10
Personal_Attributes,0,8
Plastic_Surgery,10,0
"Policy_Analysis,_Research,_and_Development",9,2
Portfolio_Management,9,4
PostgreSQL,3,6
Preventive_Maintenance,10,1
Print_Design,6,3
Problem_Solving,9,8
Process_Improvement_and_Optimization,5,9
Process_Integration,0,4
