node,HGPA_label,NMF_label
Account_Management,3,8
Accounting,0,3
Accounts_Payable_and_Receivable,4,0
Acting,4,4
Administration,0,3
Administrative_Support,9,6
Agility,0,3
Analysis,5,5
Analytical_Thinking,8,1
Analytics,5,5
Application_Development,8,1
Art_and_Illustration,4,4
Audiovisual_Equipment,2,0
Automation,4,0
Banking,4,0
Behavioral_Science,1,8
Business,3,4
Business_Case,5,5
Business_Management,1,8
Business_Process,9,9
Business_Requirements,9,9
Business_Structures,0,3
Business_Studies,1,8
Business_Transformation,0,3
C,7,7
C_and_C++,7,7
Calibration,2,0
Call_Center_Experience,6,2
Candidate_Relationship_Management_(CRM),8,1
Capacity_Planning,5,5
Career_Development,3,4
Change_Management,1,8
Classroom_Management,1,8
Cloud_Migration,8,9
Commissioning,3,8
Communication,9,1
"Company,_Product,_and_Service_Knowledge",6,2
Competency_Assessment,4,4
Computer_Science,9,9
Computer_Systems,2,0
Contact_Tracing,8,1
Contract_Management,7,7
Customer_Service,7,6
Customer_and_Client_Support,6,2
Data_Cleansing,8,9
Data_Collection,0,3
Data_Extraction,2,0
Data_Migration,8,9
Data_Quality,7,7
Database_Software,8,1
Database_software,8,1
Databases,2,0
Debugging,2,0
Design,5,5
Design_Theory,1,8
Development_Interventions,6,2
Digital_Content,9,6
Digital_Technology,6,2
Disabilities,1,8
Due_Diligence,0,3
E-Commerce,6,2
"Economics,_Policy,_and_Social_Studies",7,7
Education_and_Training,0,8
Electrical_and_Computer_Engineering,0,8
Elucidat,4,4
Employee_Engagement,4,4
Employee_Training,2,0
Energy_and_Utilities,6,2
"Engineering,_Scientific,_and_Technical_Instruments",0,8
Events_and_Conferences,9,6
Finance,7,7
Financial_Analysis,0,3
Financial_Institution,7,7
Financial_Statements,0,3
"Fire_Prevention,_Safety,_and_Control",4,4
Food_and_Beverage,6,2
Functional_Testing,8,9
Gap_Analysis,5,5
Global_Scope,7,7
Google,9,6
Google_Analytics,2,0
Health_Information_Systems_(HIS),5,5
Hospital_Experience,7,7
Human_Resource_Management,0,8
Human_Resources,3,8
Human_Resources_Information_System_(HRIS),3,8
Identity_Verification,5,5
Incident_Management,5,5
Information_Systems,9,1
Information_Technology,1,8
Initiative_and_Leadership,7,7
Inquiry,6,2
Instructional_and_Curriculum_Design,0,8
Instructor-Led_Training,4,0
Integration_Testing,4,9
Inventory_and_Warehousing,8,9
Jabber,2,0
Knowledge_Management,4,4
"Law,_Regulation,_and_Compliance",2,0
Lead_Generation,6,2
Learning_Management_Systems,4,4
Learning_Platforms,9,6
Learning_Styles,4,4
"Maintenance,_Repair,_and_Facility_Services",0,8
Management_Systems,4,4
Manufacturing_and_Production,8,9
Marketing,5,5
Mass_Communication,1,8
Microsoft_Office,9,6
Multimedia,1,8
Music,6,2
Nursing,7,7
Operating_Systems,2,0
Operational_Excellence,5,5
Oracle,8,9
Order_Management,8,9
Organizational_Development,3,4
Outsourcing,6,2
Performance_Improvement,3,5
Performance_Management,3,4
Pharmaceuticals,3,5
"Policy_Analysis,_Research,_and_Development",3,8
Problem_Management,2,0
Problem_Solving,9,6
Process_Design,5,5
Process_Improvement_and_Optimization,0,3
Procure-To-Pay_(PTP),8,9
Procurement,9,6
Production_and_Assembly,2,0
Program_Development,1,8
Project_Implementation,8,9
Project_Management,5,3
Project_Planning,0,3
Project_Schedules,4,4
Promotions_and_Campaigns,9,6
Proposal_Development,6,2
Psychology,1,8
Public_Health,6,2
Public_Transport,5,5
Purchasing,8,9
Qualitative_Research,1,8
Quality_Assurance_and_Control,2,0
R,3,4
Recruitment,0,3
Registration,3,8
Regulatory_Requirements,7,7
Reinforcement,2,0
Remuneration,5,5
Resource_Management,1,8
Revenue_Growth,4,4
Revisions,3,4
Risk_Management,3,5
SAP,8,1
SAP_EWM,6,2
Sales,3,8
Scheduling,5,5
Science_and_Research,9,9
Search_Engine_Optimization,6,2
Selling_Techniques,1,8
Servers,2,0
ServiceNow,2,0
Service_Level,7,7
Service_Level_Management,7,7
Service_Management,7,7
Social_Security,5,5
Software_Systems,2,0
Speech_Analytics,5,5
Stakeholder_Engagement,9,6
Stakeholder_Management,3,5
Statistics,2,0
Succession_Planning,5,5
System_Design_and_Implementation,8,1
System_Monitoring,2,0
Talent_Acquisition,6,2
Talent_Management,3,5
Target_Audience,1,8
Tax,7,7
Teaching,1,8
Technical_Support_and_Services,6,2
Technical_Training,0,8
Technology_Solutions,6,2
Templates,1,8
Train_The_Trainer,6,5
Training_Programs,3,4
Transaction_Data,4,9
Transition_Management,1,8
"Transportation,_Supply_Chain,_and_Logistics",9,9
Travel_and_Tourism,8,9
Tutorials,4,4
Utilization_Management,7,7
Virtual_Classroom,1,8
Warehouse_Management,9,9
Warehousing,9,6
Waste_Management,3,8
"Water_Supply,_Testing,_and_Treatment",4,0
Webinar_software,9,6
Workforce_Optimization,5,5
Writing,7,7
