node,HGPA_label,NMF_label
ASP.NET,11,12
AUTO,3,12
AWS_CloudFormation,8,5
AWS_Lambda,4,5
Access_Controls,2,10
Account_Management,0,2
Account_Reconciliation,6,6
Acting,9,0
Active_Directory,11,12
Administration,2,10
Advanced_Cardiovascular_Life_Support_(ACLS),8,8
Advertising,9,0
Agile_Methodology,10,11
Agility,7,4
AlienVault,6,6
Amazon_Web_Services_(AWS),4,12
Analysis,12,10
Analytics,6,6
Angular_Material,7,4
Ansible,4,5
Apache,3,12
Appdynamics,5,8
Application_Deployment,0,2
Application_Design,8,8
Application_Development,3,12
Application_Frameworks,5,1
Application_Programming_Interface_(API),7,4
Application_Security,2,9
Application_Security_Testing,0,2
Application_Servers,8,3
Application_Services,2,10
Architecture_and_Construction,1,9
Asset_Management,7,4
Audit_Management,11,11
Auditing,6,3
Automation,3,12
Autoscaling,11,3
Azure_Active_Directory,3,12
Azure_Application_Insights,9,0
Azure_Data_Factory,3,12
Azure_DevOps,6,6
Azure_Kubernetes_Service,8,8
Backup_Software,12,2
Banking,11,7
Bare_Metal,3,12
Bash,4,5
BeanShell,8,3
Billing_and_Invoicing,6,6
Bootstrap,7,4
Budget_Management,1,10
Building_Automation,4,5
Business,7,4
Business_Analytics,6,6
Business_Case,8,8
Business_Continuity,1,9
Business_Development,9,0
Business_English,7,4
Business_Leadership,4,8
Business_Logic,10,11
Business_Operations,1,9
Business_Process,7,3
Business_Process_Management,7,3
Business_Process_Monitoring_(BPM),7,3
Business_Relationship_Management,1,9
Business_Requirements,7,4
Business_Software,10,0
Business_Solutions,3,12
Business_Systems,9,7
C,3,12
C#,3,12
C++,3,12
C_and_C++,3,12
Capacity_Planning,12,7
Cascading_Style_Sheets_(CSS),5,1
Case_Management,7,3
CentOS,5,8
Certain,11,11
Change_Control,1,9
Change_Management,1,9
Change_Requests,11,7
Chef,4,5
Cisco_PIX,12,7
Cisco_Switching,7,4
Cisco_firePOWER,9,7
Citrix,11,7
Cloud-Native_Applications,5,1
Cloud_Administration,11,11
Cloud_Computing,11,12
Cloud_Computing_Architecture,5,8
Cloud_Development,10,11
Cloud_Engineering,10,11
Cloud_Formation,8,8
Cloud_Foundry,5,1
Cloud_Infrastructure,3,12
Cloud_Management,3,12
Cloud_Migration,5,8
Cloud_Services,5,8
Cloud_Solutions,11,11
Cloud_Storage,10,0
Cloud_Strategy,5,8
Cloud_Technologies,10,8
Colocation,2,10
Communication,12,9
Communications_Protocols,10,11
Communications_Systems,1,9
"Company,_Product,_and_Service_Knowledge",2,10
Compensation_and_Benefits,10,11
Compliance_Requirements,6,6
Computer_Engineering,12,9
Computer_Networks,12,7
Computer_Science,12,10
Computer_Systems,9,7
Computing_Platforms,12,4
Configuration_Management,0,2
Confluence,4,5
Consolidation,6,6
Containerization,3,12
Content_Filtering,9,7
Continuous_Availability,4,5
Continuous_Integration,8,4
Control_Systems,10,11
Cost_Control,11,11
Cost_Management,3,12
Cryptography,1,9
Customer_Engagement,9,7
Customer_Retention,10,11
Customer_Service,7,4
CyberArk,11,7
Cyber_Defense,0,2
Cyber_Risk,2,10
Cyber_Security,2,2
Cybersecurity,1,9
Data_Access,12,10
Data_Analysis,2,10
Data_Centers,12,10
Data_Entry,9,7
Data_Ingestion,6,6
Data_Integration,6,6
Data_Integrity,2,10
Data_Management,6,6
Data_Modeling,6,6
Data_Processing,10,11
Data_Quality,6,6
Data_Recovery,2,10
Data_Security,2,10
Data_Storage,10,5
Data_Structures,10,0
Database_Administration,12,4
Database_Design,12,4
Database_Security,11,11
Databases,11,3
Debugging,10,5
Design,0,2
Design_Specifications,3,12
DevOps,8,8
Diagnostic_Tests,2,10
Dials,12,10
Dicom,4,5
Dig,11,11
Digital_Marketing,9,0
Digital_Systems,3,12
Digital_Transformation,5,1
Disaster_Recovery,3,12
Docker,4,12
Dynamic_Host_Configuration_Protocol_(DHCP),2,10
Dynatrace,10,5
E-Commerce,10,11
"Economics,_Policy,_and_Social_Studies",0,2
Economy,10,11
Education_and_Training,0,2
Elasticsearch,10,5
Electrical_and_Computer_Engineering,0,2
Electronics,1,9
Electronics_Engineering,1,9
Emerging_Technologies,2,10
Empowerment,10,11
Encryption,1,9
Endpoint_Detection_And_Response,0,2
Endpoint_Security,11,11
"Engineering,_Scientific,_and_Technical_Instruments",7,4
Engineering_Practices,5,1
Engineering_Support,4,5
Enterprise_Performance_Management_(EPM),6,6
Equity_and_Debt,4,5
Ethical_Hacking,1,9
Event_Management,2,10
Event_Monitoring,1,10
Events_and_Conferences,2,10
Executable,7,4
Executive_Presence,3,12
Exploitation,12,7
Facebook,10,5
Failover,11,12
Feasibility_Studies,12,4
File_Systems,6,3
File_Transfer_Protocol_(FTP),6,3
Finance,6,6
Financial_Management,9,0
Financial_Services,7,4
"Fire_Prevention,_Safety,_and_Control",11,3
Firewall,12,9
Firmware,9,7
Fortinet,9,7
Foundry,5,1
Functional_Programming,8,8
Functional_Training,6,6
Gap_Analysis,0,2
Genesys,10,11
Git,10,5
GitHub,5,8
Github,5,8
Gitlab,5,8
Global_Leadership,4,1
Good_Governance,12,10
Google,0,2
Google_Cloud,0,2
Google_Cloud_Platform,11,12
Google_Cloud_Platform_(GCP),5,1
Google_Compute_Engine_(GCE),3,12
Google_Kubernetes_Engine_(GKE),4,5
Grafana,4,5
Gross_Margin,9,0
Group_Policy,0,2
HTML5,7,4
Hardening,0,2
Health_Information_Systems_(HIS),1,9
Hibernate_ORM,7,3
HyperText_Markup_Language_(HTML),8,3
IPv4,9,7
IPv6,9,7
IRIS,10,11
IT_Asset_Management,7,4
IT_Infrastructure,7,4
IT_Risk_Management,12,10
IT_Service_Management,4,1
IdentityIQ,8,3
Identity_And_Access_Management,3,12
Identity_Management,2,10
Imaging,4,5
In-Plane_Switching_(IPS),1,9
Incident_Management,0,2
Incident_Response,0,2
Incident_Response_Management,4,5
Industrial_Internet_Of_Things_(IIoT),6,6
Information_Architecture,11,11
Information_Management,1,9
Information_Security_Management,2,10
Information_Systems,0,2
Information_Systems_Security,11,11
Information_Technology,12,9
Infrastructure_As_A_Service_(IaaS),3,12
Infrastructure_Security,0,2
Initiative_and_Leadership,12,10
Installation,2,10
Integration_Testing,11,7
Internal_Investigations,2,10
International_Standards,9,7
Internet_Of_Things_(IoT),3,12
Internet_Protocols,5,8
Internet_Security,0,2
Internet_Services,6,6
Intrusion_Detection_Systems,1,10
Inventory_and_Warehousing,12,9
Itilv3,7,4
JIRA,5,1
JSON,12,4
Java,8,1
JavaScript,8,5
JavaScript_and_jQuery,8,5
Java_8,8,8
Jenkins,5,8
Jetty,4,5
Kali_Linux,0,2
Knowledge_Base,9,7
Knowledge_Management,8,3
Kotlin,8,8
Kubernetes,5,8
Language,0,2
"Law,_Regulation,_and_Compliance",0,2
Library_and_Archiving,1,9
Lifecycle_Management,3,12
Linux,4,12
Linux_Administration,5,8
Linux_System_Administration,4,8
Load_Balancing,3,12
Log_Files,2,10
"Maintenance,_Repair,_and_Facility_Services",8,3
Malware_Analysis,2,10
Managed_Services,7,4
Management_Information_Systems,0,2
Management_Systems,6,3
Manual_Handling,6,3
Manufacturing_and_Production,12,9
MariaDB,4,5
Marketing,9,0
McAfee,1,9
Media_and_Writing,2,10
Metadata,6,6
Microservices,8,1
Microsoft_Active_Directory,1,9
Microsoft_Azure,5,1
Microsoft_Exchange,6,3
Microsoft_Office,7,4
Microsoft_PowerShell,10,5
Microsoft_SQL_Server,6,3
Microsoft_Teams,12,2
Microsoft_Windows,2,10
Microsoft_Windows_Server,9,0
Middleware,10,0
Mitigation,2,10
Mobile_App,9,0
MongoDB,4,5
Multi-Cloud,10,5
Multi-Factor_Authentication,3,12
MySQL,8,3
Nagios,10,5
National_Airspace_System_(NAS),1,9
Nessus,0,2
NetWare,6,3
Network_Access_Control,9,7
Network_Administration,11,7
Network_Architecture,1,9
Network_Engineering,9,7
Network_Infrastructure,6,6
Network_Management,0,2
Network_Monitoring,12,4
Network_Protocols,1,9
Network_Security,12,7
Network_Storage,6,3
Network_Troubleshooting,9,0
Network_Virtualization,3,12
Nginx,4,5
Nmap,0,2
NoSQL,5,1
Node.js,4,12
Ns_(Simulator),11,7
OAuth,11,11
Object-Oriented_Programming_(OOP),5,1
Offensive_Security,11,11
On_Prem,3,12
OpenAPI,10,0
OpenShift,5,8
OpenStack,3,12
Open_Access,11,11
Open_Shortest_Path_First_(OSPF),12,7
Operating_Systems,2,10
Operational_Efficiency,10,5
Operations_Management,1,9
Oracle,6,3
Organizational_Development,1,9
Organizational_Structure,1,9
PHP,4,12
PL/SQL,6,6
Panorama,9,7
Parsing,10,5
Patch_Management,0,2
Payment_Processing_and_Collection,7,4
Penetration_Testing,0,2
Performance_Management,6,6
Performance_Review,1,9
Performance_Testing,8,3
Performance_Tuning,5,1
Perimeter,0,2
Peripheral_Component_Interconnect_(PCI),2,10
Perl,4,5
Phishing,1,9
Physical_Security,9,7
Pluggable_Authentication_Module_(PAM),7,3
"Policy_Analysis,_Research,_and_Development",12,12
Policy_Development,12,10
Port_Forwarding,4,8
PostgreSQL,8,3
Power_BI,6,6
Presales,7,4
Private_Cloud,4,8
Private_Equity,4,5
Problem_Management,1,9
Problem_Solving,0,2
Process_Control,11,11
Process_Design,6,6
Process_Engineering,1,9
Process_Improvement_and_Optimization,2,10
Process_Management,7,3
Procurement,7,4
Product_Development,9,0
Production_Process,6,3
Production_and_Assembly,10,5
Programming_languages,8,3
Project_Implementation,11,11
Project_Management,0,2
Project_Planning,8,3
Project_Stakeholders,0,2
Prototyping,10,5
Public_Cloud,5,8
Puppet,4,5
Python,4,5
Quality_Assurance_and_Control,10,11
Qualys,0,2
Quantification,1,9
Query_Languages,6,6
R,11,7
RESTful_API,7,4
Radar,2,10
Reconciliation,6,6
Recruitment,12,9
Red_Hat_Enterprise_Linux,5,8
Redis,5,1
Regulation_and_Legal_Compliance,2,10
Regulatory_Compliance,1,10
Regulatory_Requirements,4,5
Relational_Databases,11,12
Reliability_Engineering,4,5
Request_For_Information_(RFI),8,3
Research_And_Development,3,12
Resource_Management,8,3
Resourcing,4,1
Restoration,6,3
Revenue_Growth,10,11
Reverse_Engineering,2,10
Risk_Analysis,11,11
Risk_Management,12,11
Role-Based_Access_Control_(RBAC),11,3
Root_Cause_Analysis,7,4
Route,3,12
Routing_Protocols,12,7
Ruby,4,5
SAP,8,3
SAP_Applications,11,11
SAP_Security,11,11
SAS,11,12
SQL_Azure,3,12
SSL,9,7
Sales,8,3
Sales_Process,9,0
Sales_Support,7,4
Salesforce,10,11
Scala,8,8
Scalability,3,12
Science_and_Research,12,10
Scripting,4,5
Scripting_Languages,5,8
Secure_Coding,1,9
Security_Assertion_Markup_Language_(SAML),11,11
Security_Awareness,12,10
Security_Controls,0,2
Security_Devices,12,7
Security_Engineering,2,9
Security_Log,2,10
Security_Operations,1,9
Security_Software,11,3
Security_Systems,12,4
Security_Technology,2,9
Security_Testing,0,2
Server_Administration,9,0
Serverless_Computing,5,1
Servers,2,10
ServiceNow,6,6
Service_Catalog,6,6
Service_Improvement,10,5
Service_Level,12,10
Service_Management,0,2
Service_Request_Management,1,9
Simple_Object_Access_Protocol_(SOAP),8,3
Single_Page_Application,7,4
Single_Sign-On_(SSO),11,12
Site_Reliability_Engineering,4,5
Social_Development,9,0
Social_Engineering,1,9
Software_Architecture,5,1
Software_Deployment,5,8
Software_Development,8,8
Software_Development_Life_Cycle,10,11
Software_Engineering,11,11
Software_Security,2,10
Software_Systems,9,0
SolarWinds,9,0
Solution_Architecture,7,4
Solution_Design,7,4
Splunk,10,5
Spring,5,1
Spring_Batch,5,1
Spring_Boot,5,1
Spring_Cloud,5,1
Sprint_Planning,7,4
