node,HGPA_label,NMF_label
AJAX,1,4
Acute_Care,3,1
Administration,0,2
Amazon_Web_Services_(AWS),1,4
Analytical_Thinking,0,3
Anatomy,3,1
Appeals,2,0
Architecture_and_Construction,4,0
Audit_Trail,2,0
Benefits_Administration,0,2
Billing_and_Invoicing,3,3
Bootstrap,1,4
Business,0,2
Business_Development,0,2
C,4,1
CPT_Coding,3,1
C_and_C++,4,1
Call_Center_Experience,4,1
Cascading_Style_Sheets_(CSS),4,3
Claims_Processing,2,0
Clinical_Documentation,3,1
Clinical_Experience,4,3
CodeIgniter,1,4
Communication,4,2
"Company,_Product,_and_Service_Knowledge",2,0
Compensation_and_Benefits,0,2
Computer_Science,1,4
Conflict_Resolution,0,3
Construction,4,1
Current_Procedural_Terminology_(CPT),4,1
Customer_Service,4,3
Dance,0,2
Data_Entry,3,3
Databases,1,4
Debugging,4,1
Digital_Transformation,0,3
"Economics,_Policy,_and_Social_Studies",2,0
Education_and_Training,3,1
Events_and_Conferences,2,0
Financial_Software,3,3
"Fire_Prevention,_Safety,_and_Control",1,4
Food_and_Beverage,0,2
Forth,3,3
Git,1,4
Gmail,0,2
Google,0,2
Google_Sheets,0,2
HTML5,1,4
Health_Care,2,0
Health_Sciences,4,0
Hospital_Experience,2,0
Inbound_Calls,0,2
Initiative_and_Leadership,4,3
Inpatient_Coding,4,0
International_Classification_Of_Diseases,3,1
Inventory_and_Warehousing,2,0
JavaScript,1,4
JavaScript_Frameworks,1,4
JavaScript_and_jQuery,1,4
Laravel,1,4
"Law,_Regulation,_and_Compliance",2,0
Linux,1,4
"Maintenance,_Repair,_and_Facility_Services",2,0
Managed_Care,3,3
Medicaid,3,3
Medical_Billing_and_Coding,3,3
Medical_Records,4,1
Medical_Records_Review,4,1
Medical_Support,2,0
Medical_Terminology,3,1
Medicare,3,3
Microsoft_Office,2,0
Microsoft_Windows,3,3
Music,0,2
MySQL,1,4
Nursing,2,0
Occupational_Therapy,0,2
Office_Equipment,4,1
Outpatient_Coding,2,0
Outpatient_Surgery,3,1
PHP,0,4
Payroll,0,3
Pharmacy,2,0
Photography,0,2
Physical_Therapy,0,2
Physiology,3,1
"Policy_Analysis,_Research,_and_Development",4,3
Problem_Solving,4,3
Procedure_Codes,4,3
Process_Management,4,3
Production_and_Assembly,3,3
Protected_Health_Information,4,3
Quality_Management,2,0
React,1,4
Registration,2,0
Regulatory_Requirements,2,0
Relational_Databases,1,4
Revenue_Cycle_Management,3,3
Revenue_Management,2,0
Sales,4,0
Scheduling,2,0
Science_and_Research,1,4
Service_Level,2,0
Surgery,3,1
Symfony,1,4
Travel_and_Tourism,0,2
Virtual_Training,3,1
"Water_Supply,_Testing,_and_Treatment",3,1
Web_Services,1,4
WordPress,1,4
Yii_PHP_Framework,1,4
Yoga,0,2
jQuery,1,4
