node,HGPA_label,NMF_label
Access_Controls,10,4
Account_Management,8,10
Accounting,8,10
Administration,9,10
Advertisement,8,10
Advertising,1,1
Advertising_Campaigns,5,1
Alteryx,9,0
Amazon_Marketplace,8,10
Amazon_Web_Services_(AWS),2,10
Analysis,3,0
Analytical_Thinking,6,1
Analytics,9,0
Application_Programming_Interface_(API),0,9
Architecture_Framework,2,8
Architecture_and_Construction,0,9
Asset_Management,4,4
Automation,4,4
Banking,7,5
Behavioral_Science,7,5
Big_Data,0,5
Billing_and_Invoicing,6,4
Biology,10,7
Blogs,6,10
Business,2,10
Business_Analytics,3,8
Business_Development,6,4
Business_Intelligence,6,1
Business_Metrics,3,8
Business_Operations,3,1
Business_Planning,2,10
Business_Process,3,0
Business_Solutions,7,5
Candidate_Relationship_Management_(CRM),8,10
Career_Development,6,4
Cascading_Style_Sheets_(CSS),5,9
Certain,10,4
Chemistry,10,7
Communication,1,2
"Company,_Product,_and_Service_Knowledge",9,0
Comparative_Analysis,9,0
Competency_Assessment,1,2
Comprehensive_Layout,0,9
Computer_Science,0,9
Computer_Systems,10,7
Conflict_Resolution,9,8
Consolidation,1,2
Content_Creation,0,5
Content_Development_and_Management,1,1
Customer_Insights,1,5
Customer_Relationship_Management,6,4
Customer_Service,5,9
Cyber_Security,4,4
Cybersecurity,10,4
Data_Analysis,1,5
Data_Architecture,8,8
Data_Collection,10,4
Data_Consistency,9,0
Data_Entry,3,0
Data_Extraction,8,10
Data_Governance,9,1
Data_Management,7,5
Data_Mining,3,0
Data_Quality,3,0
Data_Retrieval,2,10
Data_Validation,3,0
Data_Visualization,7,5
Data_Warehouse_Systems,8,10
Database_Development,0,5
Databases,9,0
Databricks,9,0
Datasheets,3,0
Debugging,10,7
Deep_Diving,6,1
Demand_Management,10,7
Design,5,9
Development_Environment,0,6
Development_Studies,4,7
Digital_Advertising,6,1
Digital_Marketing,0,3
Digital_Media,1,1
Diving,3,1
E-Commerce,8,10
"Economics,_Policy,_and_Social_Studies",8,10
Education_and_Training,4,4
Email_Management,2,10
Employee_Engagement,7,2
"Engineering,_Scientific,_and_Technical_Instruments",0,5
Environmental_Monitoring,4,7
Events_and_Conferences,7,2
Facebook,6,1
Facebook_Marketing,3,1
Feasibility_Studies,9,7
File_Format,5,6
File_Transfer_Protocol_(FTP),5,9
Finance,2,10
"Fire_Prevention,_Safety,_and_Control",9,7
Focus_Group,6,1
Food_Technology,10,7
Food_and_Beverage,4,7
Full_Stack_Development,0,3
Good_Laboratory_Practice_(GLP),4,7
Google,0,9
Google_Analytics,0,3
Google_Data,2,10
Google_Search_Console,5,6
Google_Sheets,8,10
Google_Slides,8,10
Health_Information_Systems_(HIS),6,4
Human_Resource_Management,1,2
HyperText_Markup_Language_(HTML),5,6
Industrial_Engineering,1,2
Information_Management,4,4
Information_Systems,4,4
Information_Technology,0,3
Initiative_and_Leadership,5,3
Instagram,6,4
Interactivity,0,6
Inventory_Control,4,7
Inventory_Management,3,0
Inventory_and_Warehousing,9,0
Investments,2,10
JSON,5,9
JavaScript,5,9
JavaScript_and_jQuery,0,9
Knowledge_Base,10,4
Laboratory_Safety,10,7
Language,6,1
"Law,_Regulation,_and_Compliance",10,7
Liberal_Arts,7,2
Machine_Learning_(ML),7,5
"Maintenance,_Repair,_and_Facility_Services",5,9
Management_Systems,1,2
Manufacturing_and_Production,4,7
Market_Research,1,5
Marketing,1,8
Marketing_Automation,6,4
Marketing_Research,4,4
Marketing_Strategy,8,8
Mass_Communication,7,5
Mathematical_Finance,2,1
Media_and_Writing,1,5
Merchant_Services,4,4
Meta_Tags,5,9
Microsoft_Excel,9,0
Microsoft_Office,9,0
Microsoft_Word,3,8
Mobile_Phones,0,9
