node,HGPA_label,NMF_label
.NET_Development,3,6
.NET_Framework,5,8
.NET_Framework_4,16,6
2D_Animation,14,15
3D_graphics_software,9,8
ADO.NET,5,8
AFNetworking,0,2
AJAX,7,12
API_Design,7,6
API_Gateway,15,7
API_Management,6,6
AS2,11,4
ASP.NET,5,8
ASP.NET_Core,16,6
ASP.NET_Core_MVC,16,17
ASP.NET_MVC_5,3,6
ASP.NET_MVC_Framework,10,8
ASP.NET_Web_API,10,8
AUTO,10,9
AWS_Amplify,8,4
AWS_Batch,8,2
AWS_CloudFormation,2,16
AWS_CodePipeline,2,16
AWS_Lambda,8,2
AWS_SDK,15,7
AWS_Serverless,15,7
Ab_Initio,1,11
Abstractions,0,10
Acceptance_Testing,3,11
Account_Management,9,2
Accounting,12,5
Accounting_Methods,11,14
Accounting_Records,12,5
Accounting_Systems,12,5
Acting,1,11
Active_Directory,11,16
Active_Server_Pages_(ASP),3,0
Ad_Hoc_Analysis,1,11
Ada,7,0
Adapt_It,17,17
Adaptive_Design,15,10
Administration,3,16
Administrative_Support,10,17
Adobe_CQ,4,12
Adobe_Captivate,14,15
Adobe_Creative_Suite,14,15
Adobe_Illustrator,14,15
Adobe_Photoshop,14,15
Adobe_XD,0,10
Advanced_Business_Application_Programming_(ABAP),5,13
Advanced_Cardiovascular_Life_Support_(ACLS),4,12
Advanced_Message_Queuing_Protocol,11,4
Advertisement,14,15
Advertising,14,15
Advertising_Campaigns,14,15
Aerospike,12,5
Aesthetic_Design,0,10
Affiliate_Marketing,15,10
Agile_Methodology,16,4
Agile_Modeling,0,10
Agile_Product_Development,17,9
Agile_Project_Management,12,2
Agile_Projects,4,12
Agile_Software_Development,7,11
Agility,14,17
Agricultural_Research_and_Agronomy,14,17
"Agriculture,_Horticulture,_and_Landscaping",9,2
Airflow,15,13
Akamai,13,1
Alamofire,0,2
Algebra,9,8
Algorithm_Design,3,0
Algorithms,15,2
Alibaba_Cloud,13,9
AlienVault,13,1
Amazon_Connect,15,7
Amazon_Redshift,16,11
Amazon_S3,10,17
Amazon_Web_Services_(AWS),2,1
Analysis,7,0
Analytical_Thinking,8,16
Analytical_software,5,17
Analytics,13,16
Android,0,2
Android_Applications,0,2
Android_Development,12,5
Android_Jetpack,0,2
Android_NDK,6,2
Android_SDK,0,2
Android_Software_Development,0,2
Android_Studio,0,2
Android_UI,0,2
Angular_Material,16,6
Angular_Ui,1,10
Animations,0,2
Annual_Reports,9,2
Anomaly_Detection,13,1
Ansi_Sql,1,11
Ansible,11,1
Apache,7,1
Apache_ActiveMQ,4,0
Apache_Airflow,15,13
Apache_CXF,4,0
Apache_Camel,4,0
Apache_Cordova,15,2
Apache_Kafka,6,2
Apache_Karaf,4,0
Apache_Mesos,2,1
Apache_Spark,11,14
Apache_Tomcat,4,12
Apigee,8,1
Appcelerator,0,2
Appdynamics,10,9
Appium,2,9
Apple_IOS,9,2
Apple_Keynote,15,10
Apple_TV,17,17
Application_Data,10,8
Application_Deployment,17,9
Application_Design,4,12
Application_Development,7,12
Application_Environments,13,1
Application_Frameworks,15,7
Application_Layers,16,17
Application_Lifecycle_Management,12,8
Application_Programming_Interface_(API),3,6
Application_Security,2,16
Application_Security_Testing,3,9
Application_Servers,4,12
Application_Services,7,0
Application_Testing,2,9
Applied_Science,13,17
Appraisals,11,17
Arbitration,12,5
ArcSDE,13,12
Architectural_Design,16,6
Architectural_Models,5,17
Architectural_Patterns,6,8
Architecture_and_Construction,4,0
Archives,14,15
Arduino,3,11
Arithmetic,10,17
Art_and_Illustration,16,4
Articulate_Storyline,14,15
Articulation,17,5
Artifactory,8,4
Artificial_Intelligence_(AI),15,7
Artificial_Intelligence_Markup_Language_(AIML),16,17
Asana,9,2
Asset_Classes,11,4
Asset_Management,4,12
Asynchronous_Javascript,1,10
Asynchronous_Transfer_Mode_(ATM),16,11
Atlassian_JIRA,5,8
Audit_Info_System_(AIS),3,9
Audit_software,12,5
Auditing,2,16
Aurelia,11,8
Auth0,9,2
Authorize.net,9,8
Autodesk,9,8
Autodesk_Maya,9,8
Autofac,6,8
Automation,10,9
Automotive_Finance,13,4
Automotive_Industry,17,10
Autoscaling,13,1
Aviation,17,17
Axure_RP,6,10
Axway,5,13
Azure_Active_Directory,13,16
Azure_Application_Insights,6,6
Azure_Data_Factory,5,8
Azure_Data_Lake,6,6
Azure_DevOps,16,9
Azure_Kubernetes_Service,7,6
Azure_Sentinel,13,1
Azure_Service_Bus,6,6
BMC_Remedy_Action_Request_System,7,13
Backbone.js,6,10
Backlogs,13,4
Banking,4,4
Banking_Services,4,4
Banking_Software,17,5
Bare_Metal,6,10
Basecamp,9,2
Bash,2,16
Batch_Processing,3,11
Batch_Scripting,1,11
Batteries,9,10
Behat,0,10
Behavior-Driven_Development,15,2
Benchmarking,8,2
Benefits_Administration,14,15
BigQuery,5,13
Big_Data,1,11
Bigcommerce,10,10
Bill_Of_Materials,14,15
Billing_and_Invoicing,13,12
Biometrics,8,17
Bit.ly,12,2
Bitbucket,3,9
Bitrix,9,2
Blackbox,10,9
Blazor,5,6
Blended_Learning,14,15
Blender,9,8
Blobs,10,9
Block_Storage,10,8
Blockchain,13,4
Blog_Posts,7,1
Blogs,2,16
Bluetooth,15,2
Bookkeeping,12,5
Bootstrap,3,10
Bootstrapping,17,17
Branch.io,0,2
Branching_And_Merging,12,8
Branding,3,10
Bridge_Engineering,13,1
Broadcasting,14,17
Brokerage,11,16
Browser_Compatibility,1,10
Budget_Analysis,1,11
Bug_Reporting,14,9
Bugzilla,7,16
Build_Automation,17,5
Build_Management,8,9
Build_Pipeline,0,2
Build_Process,10,9
Build_Tools,11,14
Building_Automation,17,13
Building_automation_software,17,13
Bundler,7,13
Business,5,17
Business_Analysis,16,11
Business_Analytics,10,17
Business_Architecture,7,0
Business_Case,7,9
Business_Communication,0,2
Business_Concepts,7,6
Business_Consulting,7,8
Business_Continuity,2,16
Business_Continuity_And_Disaster_Recovery,2,16
Business_Development,6,8
Business_English,11,17
Business_Expansion,17,5
Business_Informatics,12,17
Business_Intelligence,1,11
Business_Intelligence_Tools,15,7
Business_Leadership,0,2
Business_Logic,4,12
Business_Management,13,12
Business_Metrics,11,17
Business_Operations,16,11
Business_Process,5,0
Business_Process_Automation,5,0
Business_Process_Discovery,5,13
Business_Process_Improvement,5,13
Business_Process_Management,6,8
Business_Process_Monitoring_(BPM),17,0
Business_Process_Outsourcing,13,17
Business_Reporting,12,8
Business_Requirements,7,11
Business_Requirements_Documentation,16,17
Business_Software,16,9
Business_Solutions,3,11
Business_Strategy,8,2
Business_Systems,4,12
Business_To_Business,13,4
Business_Transformation,12,17
Business_Writing,8,4
Business_software_applications,16,9
C,10,8
C#,10,8
C++,12,5
CNAME_Record,6,2
CPanel,0,10
CSS_Frameworks,3,10
CSS_Grid,0,10
C_#,6,8
C_and_C++,10,8
CakePHP,3,3
Calculations,16,11
Call_Center_Experience,15,7
Camera_API,10,2
Candidate_Relationship_Management_(CRM),5,8
Capacity_Development,14,17
Capacity_Management,17,13
Capacity_Planning,1,11
Capital_Markets,13,4
Career_Development,13,17
Cascading,1,10
Cascading_Style_Sheets_(CSS),1,10
Case_Management,11,4
Cash_Management,17,13
Caspio,17,17
Casualty_Insurance,16,17
CentOS,2,3
Certain,4,4
Change_Control,5,13
Change_Management,4,12
Change_Orders,4,12
Change_Requests,17,0
Character_Animation,12,2
Chart.js,1,10
Chassis,2,3
Chatbot,4,12
Chef,8,1
Chemical_and_Biomedical_Engineering,10,10
Chrome_OS,5,17
Circleci,9,10
Circuit_Design,12,5
Citrix,13,4
Claims_Processing,17,9
ClickDimensions,16,8
Client_Support,13,14
Client_System,10,17
Cloud-Native_Applications,9,10
Cloud_Administration,1,11
Cloud_Application_Development,15,7
Cloud_Applications,16,11
Cloud_Automation,11,14
Cloud_Computing,15,2
Cloud_Computing_Architecture,13,16
Cloud_Development,3,2
Cloud_Engineering,7,6
Cloud_Formation,16,7
Cloud_Foundry,11,4
Cloud_Hosting,4,4
Cloud_Infrastructure,11,1
Cloud_Management,11,17
Cloud_Migration,5,13
Cloud_Operations,2,16
Cloud_Services,2,16
