node,HGPA_label,NMF_label
.NET_Framework,5,10
5G_Technology,7,13
ADP_Payroll,6,3
AJAX,4,2
ASP.NET,12,12
Acceptance_Testing,13,8
Account_Management,5,3
Accounting,6,3
Accounting_Systems,6,3
Accounting_and_Finance_Software,6,3
Accounting_software,6,3
Accounts_Receivable,6,3
Accruals,6,3
Acting,2,4
Active_Directory,13,8
Administration,13,8
Administrative_Support,6,3
Adobe_Photoshop,10,2
Agile_Methodology,11,7
Agile_Modeling,8,0
Agile_Product_Development,0,0
Agile_Software_Development,11,13
Agile_Testing,11,13
Agility,0,5
Akamai,7,13
Algorithms,8,2
Alibaba_Cloud,10,8
Amazon_Web_Services_(AWS),13,8
Analysis,1,11
Analytical_Thinking,7,13
Analytics,1,4
Android,4,9
Android_Applications,3,3
Ansible,7,13
Apache,9,7
Apache_Cassandra,12,8
Apache_JMeter,9,7
Apache_Jmeter,9,7
Appdynamics,7,13
Appium,0,6
Application_Deployment,13,8
Application_Development,3,10
Application_Programming_Interface_(API),4,5
Application_Servers,10,2
Application_Testing,4,9
Architectural_Patterns,4,1
Architecture_and_Construction,3,10
Art_and_Illustration,9,7
Artificial_Intelligence_(AI),0,0
Asana,11,7
Asset_Management,2,4
Audit_Info_System_(AIS),12,6
Auditing,1,4
Authorize.net,12,12
AutoIt,4,9
Automation,4,6
Aviation,10,2
Azure_Cloud_Services,10,8
Azure_DevOps,0,0
Balanced_Scorecard,1,4
Banking,5,10
Bash,13,8
Behat,8,0
Benefits_Administration,10,8
Bidding,2,4
Big_Data,1,11
Bill_Of_Materials,5,3
Billing_and_Invoicing,2,4
Bit.ly,4,2
Bitbucket,12,12
Blazemeter,7,13
Blockchain,12,12
Bootstrap,7,13
Broadcasting,1,4
Browser_Compatibility,9,7
Browserstack,11,6
Bug_Reporting,9,12
Bug_Tracking_Systems,12,8
Bugzilla,3,1
Build_Automation,8,0
Build_Management,7,13
Building_Automation,8,0
Business,3,4
Business_Analysis,6,4
Business_Architecture,5,10
Business_Intelligence,1,4
Business_Management,6,3
Business_Planning,6,3
Business_Process,5,10
Business_Process_Automation,5,10
Business_Process_Management,3,10
Business_Process_Monitoring_(BPM),3,10
Business_Requirements,3,3
Business_Solutions,1,11
Business_Strategy,5,10
Business_Studies,2,4
C,12,8
C#,12,12
C++,9,13
C_and_C++,12,8
Candidate_Relationship_Management_(CRM),12,12
Capacity_Development,11,12
Capacity_Planning,10,13
Cascading_Style_Sheets_(CSS),10,2
Case_Management,8,6
Certain,6,3
Change_Management,11,3
Change_Requests,1,4
Citrix,7,13
Civil_and_Architectural_Engineering,2,4
Clean_Energy,2,4
Client_Support,10,2
Cloud_Applications,1,11
Cloud_Computing,9,12
Cloud_Development,5,10
Cloud_Infrastructure,10,13
Cloud_Migration,5,10
Cloud_Services,10,8
Cloud_Solutions,5,10
Cloud_Technologies,10,13
Code_Review,9,7
Code_Testing,4,6
Communication,8,13
"Company,_Product,_and_Service_Knowledge",4,5
Compensation_Management,2,4
Compensation_and_Benefits,2,4
Competitive_Analysis,3,9
ComputerEase,6,3
Computer_Engineering,4,2
Computer_Hardware,11,2
Computer_Science,4,2
Computer_Systems,7,13
Concrete_and_Masonry,3,10
Conflict_Management,2,4
Conflict_Resolution,2,4
Confluence,13,8
Consolidation,6,3
Construction,2,4
